,RS_Open,RS_High,RS_Low,RS_Close,RS_Adj Close,RS_Volume,RS_Dividend Amount,RS_Split Coefficient
2024-07-29,302.99,305.8,301.66,303.0,301.820761392584,277727,0.0,1.0
2024-07-26,302.01,307.21,301.81,304.05,302.866674922162,452751,0.0,1.0
2024-07-25,302.12,314.17,292.22,308.15,306.950718228135,832018,0.0,1.0
2024-07-24,301.22,302.235,293.75,293.82,292.6764888197,474036,0.0,1.0
2024-07-23,300.57,302.0,299.27,301.16,299.987922445514,335048,0.0,1.0
2024-07-22,304.51,304.51,299.77,302.7,301.521928955562,348358,0.0,1.0
2024-07-19,308.81,310.15,303.88,304.12,302.936402490801,284832,0.0,1.0
2024-07-18,307.56,311.97,306.09,307.96,306.761457684687,355063,0.0,1.0
2024-07-17,307.89,310.39,306.53,308.75,307.548383102179,310986,0.0,1.0
2024-07-16,300.43,308.04,300.43,307.63,306.432742003963,283909,0.0,1.0
2024-07-15,299.61,304.22,299.61,300.44,299.27072459666,354115,0.0,1.0
2024-07-12,296.76,300.0,293.4,296.82,295.664813189924,401844,0.0,1.0
2024-07-11,288.02,293.82,288.02,292.42,291.281937446929,448633,0.0,1.0
2024-07-10,278.45,284.615,278.45,284.15,283.044123266346,301407,0.0,1.0
2024-07-09,279.66,281.205,277.71,277.9,276.818447495047,314652,0.0,1.0
2024-07-08,280.9,282.57,280.32,280.7,279.607550240589,251291,0.0,1.0
2024-07-05,280.0,281.68,278.0,280.51,279.418289697141,642748,0.0,1.0
2024-07-03,283.15,285.35,281.75,282.24,281.141556750637,266617,0.0,1.0
2024-07-02,279.98,283.46,279.43,282.84,281.739221624682,395807,0.0,1.0
2024-07-01,286.74,288.02,278.78,279.98,278.890352391735,467941,0.0,1.0
2024-06-28,283.17,288.49,282.485,285.6,284.488480045287,840227,0.0,1.0
2024-06-27,282.71,285.685,279.95,280.64,279.547783753184,467710,0.0,1.0
2024-06-26,277.94,282.95,277.01,282.72,281.619688649873,349425,0.0,1.0
2024-06-25,282.24,282.325,278.39,280.03,278.940157797905,447039,0.0,1.0
2024-06-24,283.02,284.95,281.41,282.1,281.00210161336,350774,0.0,1.0
2024-06-21,280.84,283.78,279.185,281.9,280.802879988678,1529503,0.0,1.0
2024-06-20,283.06,284.56,279.89,280.73,279.637433484291,492422,0.0,1.0
2024-06-18,285.29,286.88,279.78,283.19,282.087859467874,373778,0.0,1.0
2024-06-17,277.0,285.57,275.71,284.74,283.631827059157,442758,0.0,1.0
2024-06-14,276.19,278.38,274.48,277.09,276.011599915086,423959,0.0,1.0
2024-06-13,279.56,281.11,277.41,279.47,278.382337248797,393412,0.0,1.0
2024-06-12,283.46,284.57,280.12,280.93,279.836655108973,310237,0.0,1.0
2024-06-11,282.84,282.84,279.38,280.79,279.697199971695,362446,0.0,1.0
2024-06-10,285.15,286.25,280.95,284.57,283.462488678177,422788,0.0,1.0
2024-06-07,287.59,291.47,285.79,286.96,285.843187093122,342213,0.0,1.0
2024-06-06,289.5,291.72,288.43,289.44,288.313535239174,222626,0.0,1.0
2024-06-05,288.15,291.15,286.48,289.36,288.233846589301,366142,0.0,1.0
2024-06-04,294.71,297.29,287.75,288.15,287.028555759977,407573,0.0,1.0
2024-06-03,300.75,302.08,295.92,297.23,296.073217520521,256982,0.0,1.0
2024-05-31,298.43,301.39,293.84,300.78,299.609401358619,687026,0.0,1.0
2024-05-30,293.2,299.3,292.3,298.16,296.99959807529,360268,0.0,1.0
2024-05-29,299.95,302.2,292.29,292.53,291.391509340504,349269,0.0,1.0
2024-05-28,303.65,304.585,298.95,302.13,300.954147325219,376386,0.0,1.0
2024-05-24,307.0,307.0,303.03,303.8,302.617647891311,328964,0.0,1.0
2024-05-23,301.72,306.12,301.015,304.8,303.613756014718,344422,1.1,1.0
2024-05-22,299.46,304.05,299.46,302.27,300.010886010359,327338,0.0,1.0
2024-05-21,302.63,303.44,298.53,300.55,298.30374099452,241914,0.0,1.0
2024-05-20,299.35,303.9,298.0,303.31,301.043113229239,331241,0.0,1.0
2024-05-17,298.32,299.71,296.5869,298.37,296.14003393956,356393,0.0,1.0
2024-05-16,296.49,299.79,296.49,298.06,295.83235082624,275840,0.0,1.0
2024-05-15,292.12,297.425,292.12,296.56,294.343561568241,378760,0.0,1.0
2024-05-14,294.77,295.22,289.415,290.65,288.477731891722,399845,0.0,1.0
2024-05-13,293.51,296.13,293.46,293.8,291.604189333522,235806,0.0,1.0
2024-05-10,295.74,296.77,292.87,293.15,290.959047321722,228082,0.0,1.0
2024-05-09,292.66,298.91,292.66,295.51,293.301409087641,234054,0.0,1.0
2024-05-08,294.02,297.6,292.6,292.81,290.621588423242,275043,0.0,1.0
2024-05-07,290.52,297.39,290.52,295.36,293.152530161841,438149,0.0,1.0
2024-05-06,292.38,294.33,289.06,292.16,289.976446411442,298523,0.0,1.0
2024-05-03,293.3,293.3,288.09,289.78,287.614234122083,249162,0.0,1.0
2024-05-02,288.65,291.31,287.16,290.72,288.547208723762,281025,0.0,1.0
2024-05-01,284.56,291.38,281.32,286.31,284.170168305244,387485,0.0,1.0
2024-04-30,292.23,292.92,284.37,284.72,282.592051691764,401891,0.0,1.0
2024-04-29,292.04,294.51,290.3,293.93,291.733217735882,363976,0.0,1.0
2024-04-26,290.39,298.0,289.9,290.62,288.447956106562,488495,0.0,1.0
2024-04-25,295.41,295.41,281.22,292.13,289.946670626282,920156,0.0,1.0
2024-04-24,317.25,319.77,310.5819,313.56,311.216506492236,300993,0.0,1.0
2024-04-23,315.99,317.08,312.42,313.94,311.593666437596,233199,0.0,1.0
2024-04-22,319.07,321.64,315.38,319.54,317.151813000795,158994,0.0,1.0
2024-04-19,319.58,322.83,315.0,319.49,317.102186692195,223949,0.0,1.0
2024-04-18,324.1,324.11,317.9801,320.16,317.767179227435,147697,0.0,1.0
2024-04-17,326.81,326.86,322.04,322.12,319.712530524554,145782,0.0,1.0
2024-04-16,323.08,323.88,319.39,322.88,320.466850415274,160646,0.0,1.0
2024-04-15,329.92,330.46,323.4,325.23,322.799286919473,175779,0.0,1.0
2024-04-12,329.29,329.945,324.88,325.53,323.097044771073,182013,0.0,1.0
2024-04-11,331.12,332.56,328.43,330.75,328.278031388912,194515,0.0,1.0
2024-04-10,331.33,334.77,330.21,332.01,329.528614365631,189792,0.0,1.0
2024-04-09,339.29,341.89,333.25,335.95,333.43916748331,164889,0.0,1.0
2024-04-08,342.08,342.2,334.97,337.08,334.56072205767,234708,0.0,1.0
2024-04-05,336.26,340.06,334.8,340.04,337.498599526789,182923,0.0,1.0
2024-04-04,340.27,341.59,335.3617,336.28,333.76670112007,168236,0.0,1.0
2024-04-03,332.7,338.85,332.7,338.51,335.98003448363,215762,0.0,1.0
2024-04-02,331.85,334.57,328.83,333.08,330.590617369671,267832,0.0,1.0
2024-04-01,335.4,335.4,330.26,333.14,330.650168939991,167707,0.0,1.0
2024-03-28,336.61,337.015,333.215,334.18,331.682396158871,227868,0.0,1.0
2024-03-27,333.7,337.105,333.295,336.9,334.38206734671,170384,0.0,1.0
2024-03-26,332.33,334.68,329.105,331.38,328.903322877272,203076,0.0,1.0
2024-03-25,332.23,336.13,331.49,331.53,329.052201803072,211433,0.0,1.0
2024-03-22,332.01,332.84,328.5601,330.43,327.960423013872,207444,0.0,1.0
2024-03-21,329.69,332.48,326.45,331.85,329.369810178111,166656,0.0,1.0
2024-03-20,326.51,328.67,324.6,326.93,324.486581411873,162340,0.0,1.0
2024-03-19,321.4,326.31,321.4,325.08,322.650407993673,323928,0.0,1.0
2024-03-18,323.93,324.19,320.04,320.71,318.313068622034,203163,0.0,1.0
2024-03-15,316.98,322.635,316.98,320.64,318.243591789994,1078132,0.0,1.0
2024-03-14,323.88,324.67,314.2101,319.25,316.863980410915,310276,0.0,1.0
2024-03-13,321.45,324.22,318.62,324.07,321.647956559954,307173,0.0,1.0
2024-03-12,318.6,321.49,316.75,321.18,318.779555922874,176726,0.0,1.0
2024-03-11,317.83,318.53,312.83,317.94,315.563771125595,181464,0.0,1.0
2024-03-08,323.55,324.845,318.215,319.8,317.409869805515,311192,0.0,1.0
2024-03-07,323.38,325.05,319.52,321.98,319.573576860474,253642,1.1,1.0
2024-03-06,325.08,325.08,319.96,322.27,318.772367880478,193365,0.0,1.0
2024-03-05,319.93,322.525,318.29,320.26,316.784182633823,185369,0.0,1.0
2024-03-04,322.08,325.17,320.7788,321.77,318.277794436037,250946,0.0,1.0
2024-03-01,322.96,324.95,319.88,320.18,316.705050882712,258608,0.0,1.0
2024-02-29,321.8,322.37,317.83,321.22,317.733763647151,744783,0.0,1.0
2024-02-28,320.5,324.16,318.165,321.46,317.971158900483,249335,0.0,1.0
2024-02-27,325.04,326.38,322.095,322.9,319.395530420475,255024,0.0,1.0
2024-02-26,322.89,327.81,322.425,325.59,322.056335551572,177849,0.0,1.0
2024-02-23,320.7,325.115,319.19,324.12,320.602289624913,226229,0.0,1.0
2024-02-22,316.27,320.195,316.27,319.3,315.834601620494,215138,0.0,1.0
2024-02-21,318.02,319.03,313.42,316.27,312.837486547177,309966,0.0,1.0
2024-02-20,323.36,325.82,317.32,317.57,314.123377502726,423546,0.0,1.0
2024-02-16,331.4,333.33,326.4,326.43,322.887218938234,395105,0.0,1.0
2024-02-15,319.88,332.66,318.14,332.34,328.733077051535,600688,0.0,1.0
2024-02-14,290.71,295.265,288.57,294.65,291.452130809517,290864,0.0,1.0
2024-02-13,293.08,294.675,286.25,289.07,285.932691169547,255486,0.0,1.0
2024-02-12,300.0,302.89,298.095,298.47,295.230671925052,246619,0.0,1.0
2024-02-09,298.51,299.745,297.6,299.61,296.358299378379,205241,0.0,1.0
2024-02-08,297.7,298.55,296.855,297.43,294.201959160613,187786,0.0,1.0
2024-02-07,292.73,298.6,291.91,298.26,295.022951078386,201112,0.0,1.0
2024-02-06,288.52,291.69,287.55,291.39,288.227511951757,149916,0.0,1.0
2024-02-05,287.74,289.2,285.14,288.64,285.507358007327,128142,0.0,1.0
2024-02-02,289.1,292.24,286.73,290.14,286.991078340652,171987,0.0,1.0
2024-02-01,286.39,290.66,285.9,289.6,286.456939020655,213899,0.0,1.0
2024-01-31,291.19,291.45,283.83,285.42,282.322305025122,299922,0.0,1.0
2024-01-30,283.17,291.05,283.17,290.75,287.594457942871,152973,0.0,1.0
2024-01-29,281.76,284.92,279.86,284.84,281.74859982957,165647,0.0,1.0
2024-01-26,281.36,283.72,279.55,281.29,278.237128374033,131201,0.0,1.0
2024-01-25,281.49,283.82,280.0,280.41,277.366679111816,171421,0.0,1.0
2024-01-24,283.11,284.03,280.02,280.98,277.93049283848,162943,0.0,1.0
2024-01-23,285.0,286.69,280.765,281.58,278.52398097181,212297,0.0,1.0
2024-01-22,278.47,283.4,278.13,283.37,280.294553902911,231729,0.0,1.0
2024-01-19,280.92,280.92,276.7,278.84,275.813718496269,164692,0.0,1.0
2024-01-18,280.67,281.51,279.2,280.29,277.24798148515,166794,0.0,1.0
2024-01-17,275.96,280.09,275.0,278.85,275.823609965158,130074,0.0,1.0
2024-01-16,281.08,281.48,278.59,278.59,275.566431774048,243793,0.0,1.0
2024-01-12,281.75,282.83,278.77,281.97,278.909748258474,133841,0.0,1.0
2024-01-11,277.49,280.92,276.4,280.82,277.772229336258,229927,0.0,1.0
2024-01-10,276.56,277.76,275.01,277.0,273.993688220723,189265,0.0,1.0
2024-01-09,282.59,282.59,276.815,277.49,274.478370196276,190617,0.0,1.0
2024-01-08,277.99,284.86,274.5601,284.36,281.273809322906,236843,0.0,1.0
2024-01-05,274.13,278.46,273.875,277.64,274.626742229609,351821,0.0,1.0
2024-01-04,279.84,281.65,275.24,275.61,272.618774045175,217256,0.0,1.0
2024-01-03,279.37,282.26,278.5,279.13,276.100571094045,185172,0.0,1.0
2024-01-02,278.77,282.49,278.18,281.43,278.375608938477,184317,0.0,1.0
2023-12-29,281.14,282.1,278.49,279.68,276.644601882931,188617,0.0,1.0
2023-12-28,282.49,282.71,280.44,281.25,278.197562498478,105249,0.0,1.0
2023-12-27,282.26,284.33,282.15,282.91,279.839546334025,110379,0.0,1.0
2023-12-26,282.51,284.01,281.6,282.75,279.681282831803,103454,0.0,1.0
2023-12-22,280.2,284.29,279.0,282.68,279.612042549582,227903,0.0,1.0
2023-12-21,275.4,279.84,274.995,279.01,275.981873467379,266287,0.0,1.0
2023-12-20,275.51,279.41,273.8,273.82,270.848201114074,216034,0.0,1.0
2023-12-19,273.96,277.665,273.27,277.13,274.122277316278,260735,0.0,1.0
2023-12-18,274.61,277.71,273.015,273.13,270.165689760744,265799,0.0,1.0
2023-12-15,270.16,275.24,269.4,270.52,267.584016380758,637388,0.0,1.0
2023-12-14,271.05,273.12,268.35,269.87,266.941070902984,389036,0.0,1.0
2023-12-13,266.07,269.22,263.795,268.92,266.001381358545,371962,0.0,1.0
2023-12-12,270.0,270.0,265.58,266.1,263.211987131893,230122,0.0,1.0
2023-12-11,264.65,270.13,261.77,269.95,267.020202654095,292679,0.0,1.0
2023-12-08,266.89,269.0,264.52,264.64,261.767832674124,173218,0.0,1.0
2023-12-07,267.0,267.63,264.68,267.63,264.725381871885,178437,0.0,1.0
2023-12-06,269.33,271.195,265.4,267.05,264.151676676333,272421,0.0,1.0
2023-12-05,276.47,276.47,269.29,269.67,266.743241525207,293507,0.0,1.0
2023-12-04,277.32,280.79,276.585,277.53,274.517936071832,270862,0.0,1.0
2023-12-01,276.4,280.33,275.59,278.91,275.882958778491,287665,0.0,1.0
2023-11-30,271.21,275.54,270.02,275.26,272.272572634066,870060,0.0,1.0
2023-11-29,270.04,271.62,269.67,270.25,267.31694672076,297014,0.0,1.0
2023-11-28,270.74,272.37,267.685,269.23,266.308016894099,355649,0.0,1.0
2023-11-27,267.63,271.67,265.89,271.56,268.612729145197,314692,0.0,1.0
2023-11-24,267.9,268.51,266.75,268.0,265.091366220772,81295,0.0,1.0
2023-11-22,267.86,269.08,265.7,267.81,264.903428311884,199679,0.0,1.0
2023-11-21,269.7,271.07,267.26,267.43,264.527552494108,241281,0.0,1.0
2023-11-20,271.91,272.45,269.505,269.84,266.911396496318,228042,0.0,1.0
2023-11-17,273.37,275.05,272.33,272.42,269.463395469637,242892,0.0,1.0
2023-11-16,271.61,272.08,268.0,271.84,268.889690274085,211086,1.0,1.0
2023-11-15,273.0,275.98,272.0,272.74,268.79113812254,239515,0.0,1.0
2023-11-14,270.53,274.47,270.53,272.87,268.919255919548,200573,0.0,1.0
2023-11-13,267.18,268.24,266.07,267.6,263.725557533151,131018,0.0,1.0
2023-11-10,265.32,267.51,264.4,267.21,263.341204142128,128413,0.0,1.0
2023-11-09,266.52,266.52,264.41,264.47,260.640875189808,233168,0.0,1.0
2023-11-08,264.93,265.99,262.21,265.0,261.163201592994,363908,0.0,1.0
2023-11-07,265.35,267.15,264.66,265.41,261.567265414326,323508,0.0,1.0
2023-11-06,266.15,267.09,264.86,265.88,262.030460526586,319323,0.0,1.0
2023-11-03,267.16,270.01,264.65,265.1,261.261753744538,305590,0.0,1.0
2023-11-02,264.27,265.97,263.7,265.04,261.202622453612,427072,0.0,1.0
2023-11-01,254.41,262.76,253.715,262.05,258.25591312243,456306,0.0,1.0
2023-10-31,252.79,255.79,251.455,254.38,250.696963098965,344848,0.0,1.0
2023-10-30,250.47,253.501,249.29,252.66,249.001866092399,263997,0.0,1.0
2023-10-27,248.02,250.66,246.48,248.34,244.744413145676,513605,0.0,1.0
2023-10-26,240.46,252.23,237.14,247.23,243.650484263532,702306,0.0,1.0
2023-10-25,246.89,249.225,246.89,247.17,243.591352972605,405424,0.0,1.0
2023-10-24,248.54,250.05,246.78,247.0,243.423814314979,435031,0.0,1.0
2023-10-23,244.1,246.65,242.764,244.56,241.019141817293,326302,0.0,1.0
2023-10-20,249.29,252.21,245.46,245.71,242.152491560055,350110,0.0,1.0
2023-10-19,253.42,255.97,249.575,250.3,246.676035315948,331020,0.0,1.0
2023-10-18,259.51,260.18,253.76,253.78,250.105650189698,298100,0.0,1.0
2023-10-17,255.5,263.42,255.5,261.79,257.999677528415,468437,0.0,1.0
2023-10-16,258.46,260.59,256.57,259.08,255.328914221558,262218,0.0,1.0
2023-10-13,257.53,261.53,255.5,255.9,252.194955802442,352094,0.0,1.0
2023-10-12,262.38,262.38,256.095,258.04,254.303971845495,319273,0.0,1.0
2023-10-11,264.82,266.78,260.69,263.25,259.438538940965,154392,0.0,1.0
2023-10-10,263.68,267.6,263.5636,264.39,260.562033468572,136342,0.0,1.0
2023-10-09,259.62,262.73,259.34,262.48,258.679687374072,219256,0.0,1.0
2023-10-06,258.61,262.72,258.14,260.78,257.004300797815,317729,0.0,1.0
2023-10-05,256.53,259.88,256.53,258.44,254.698180451673,338112,0.0,1.0
2023-10-04,254.74,258.79,254.74,257.62,253.890052809008,350640,0.0,1.0
2023-10-03,257.41,258.87,251.27,255.19,251.495235526476,469431,0.0,1.0
2023-10-02,261.18,263.29,257.8,260.0,256.235594015768,323416,0.0,1.0
2023-09-29,264.15,264.15,260.625,262.23,258.43330699521,357172,0.0,1.0
2023-09-28,263.24,264.52,261.54,262.36,258.561424792218,318142,0.0,1.0
2023-09-27,262.64,264.2075,260.29,263.21,259.399118080347,242305,0.0,1.0
2023-09-26,264.09,264.76,259.97,260.18,256.412987888548,222503,0.0,1.0
2023-09-25,261.74,264.91,260.46,264.09,260.266377013939,127053,0.0,1.0
2023-09-22,263.17,265.81,261.6,262.03,258.236202692121,207533,0.0,1.0
2023-09-21,263.78,265.13,261.615,262.59,258.788094740771,229151,0.0,1.0
2023-09-20,269.45,273.02,265.27,265.33,261.488423693091,297323,0.0,1.0
2023-09-19,264.29,269.71,264.29,268.43,264.543540390971,378090,0.0,1.0
2023-09-18,261.52,267.03,261.52,263.65,259.832747547143,208336,0.0,1.0
2023-09-15,264.05,265.6,259.45,261.03,257.250681176676,842559,0.0,1.0
2023-09-14,265.77,268.075,264.49,265.91,262.060026172049,384086,0.0,1.0
2023-09-13,265.66,266.59,261.645,262.9,259.093606410559,290057,0.0,1.0
2023-09-12,260.96,268.09,260.955,266.45,262.592207790389,320590,0.0,1.0
2023-09-11,268.94,270.0,261.23,261.9,258.108084895113,431823,0.0,1.0
2023-09-08,273.1,273.14,269.51,270.2,266.287913473309,231192,0.0,1.0
2023-09-07,267.44,273.42,266.31,272.88,268.929111134702,335359,0.0,1.0
2023-09-06,270.41,274.4,268.64,268.99,265.09543243962,249775,0.0,1.0
2023-09-05,284.02,284.02,268.7275,270.84,266.918647243194,428896,0.0,1.0
2023-09-01,288.3,288.4,284.86,285.53,281.395958305085,221551,0.0,1.0
2023-08-31,284.48,285.48,282.72,284.96,280.834211041281,542576,0.0,1.0
2023-08-30,285.93,289.51,284.22,284.48,280.361160713867,240085,0.0,1.0
2023-08-29,277.63,286.4,277.63,285.88,281.740890835491,190816,0.0,1.0
2023-08-28,275.72,280.375,274.96,277.62,273.600483117913,134229,0.0,1.0
2023-08-25,275.39,277.17,273.79,275.74,271.747702668876,156496,0.0,1.0
2023-08-24,271.75,276.41,271.04,274.65,270.673484217041,209370,0.0,1.0
2023-08-23,276.39,276.51,273.6,274.34,270.367972547252,245363,0.0,1.0
2023-08-22,277.94,279.43,276.93,277.2,273.186564081426,179411,0.0,1.0
2023-08-21,278.68,279.99,274.61,276.98,272.969749348028,175136,0.0,1.0
2023-08-18,277.0,279.0,275.75,278.47,274.438176406041,213126,0.0,1.0
2023-08-17,282.13,283.42,277.05,278.41,274.379045115115,165181,1.0,1.0
2023-08-16,279.65,285.445,279.07,281.11,276.048435533123,159450,0.0,1.0
2023-08-15,283.17,284.05,279.38,279.83,274.791482747799,136869,0.0,1.0
2023-08-14,283.0,285.05,277.66,284.82,279.691634621835,256416,0.0,1.0
2023-08-11,279.43,282.23,278.26,282.13,277.050069783928,201015,0.0,1.0
2023-08-10,283.0,283.62,277.89,279.78,274.742383029622,158412,0.0,1.0
2023-08-09,285.76,285.76,280.39,281.81,276.735831587597,250792,0.0,1.0
2023-08-08,282.29,285.93,280.39,284.37,279.249737158245,194970,0.0,1.0
2023-08-07,284.19,287.05,282.475,284.36,279.239917214609,259437,0.0,1.0
2023-08-04,287.81,289.4724,283.0,283.32,278.218643076534,219911,0.0,1.0
2023-08-03,283.55,290.99,283.55,288.13,282.942035965134,273743,0.0,1.0
2023-08-02,289.03,291.99,283.87,285.04,279.907673381813,296157,0.0,1.0
2023-08-01,289.43,295.98,289.43,293.07,287.793088120993,207568,0.0,1.0
2023-07-31,290.59,294.99,290.59,292.86,287.586869304651,270390,0.0,1.0
2023-07-28,280.81,290.11,278.11,289.67,284.454307284977,256098,0.0,1.0
2023-07-27,286.9,289.68,274.0,280.59,275.537798464085,522601,0.0,1.0
2023-07-26,290.68,292.595,288.01,290.44,285.210442944898,284346,0.0,1.0
2023-07-25,286.73,293.029,286.73,292.9,287.626149079192,232671,0.0,1.0
2023-07-24,287.21,289.73,286.8865,287.41,282.235000023389,177046,0.0,1.0
2023-07-21,286.94,287.18,284.305,286.05,280.899487688982,147401,0.0,1.0
2023-07-20,287.03,287.96,283.93,285.83,280.683448929005,236542,0.0,1.0
2023-07-19,286.4,286.6,282.57,285.07,279.937133212719,217748,0.0,1.0
2023-07-18,285.12,289.05,285.12,288.92,283.717811512326,155206,0.0,1.0
2023-07-17,283.79,285.97,281.31,285.38,280.241551465414,183648,0.0,1.0
2023-07-14,283.43,283.43,278.015,282.44,277.354488036624,219879,0.0,1.0
2023-07-13,284.01,285.68,283.021,283.12,278.022244203827,225842,0.0,1.0
2023-07-12,284.3,286.8,282.5,283.32,278.218643076534,258353,0.0,1.0
2023-07-11,279.88,282.63,279.8701,282.28,277.197368938458,182318,0.0,1.0
2023-07-10,274.34,282.06,274.13,279.39,274.359405227844,340370,0.0,1.0
2023-07-07,273.25,278.87,272.61,275.74,270.775125800944,305756,0.0,1.0
2023-07-06,269.09,273.74,267.3175,273.28,268.35941966665,398213,0.0,1.0
2023-07-05,268.71,274.37,268.4738,270.41,265.541095843306,344171,0.0,1.0
2023-07-03,270.94,274.39,270.94,272.16,267.259585979491,134745,0.0,1.0
2023-06-30,272.2,272.2499,268.18,271.59,266.699849192277,283676,0.0,1.0
2023-06-29,265.55,271.35,265.255,270.81,265.93389358872,256327,0.0,1.0
2023-06-28,263.52,267.2,262.41,265.2,260.424905209293,352921,0.0,1.0
2023-06-27,259.27,265.66,259.0,265.52,260.739143405624,243716,0.0,1.0
2023-06-26,258.62,261.64,258.24,258.72,254.06158173359,228264,0.0,1.0
2023-06-23,253.74,259.14,253.42,258.26,253.609864326365,547549,0.0,1.0
2023-06-22,255.89,255.99,252.32,255.57,250.968299488457,166771,0.0,1.0
2023-06-21,251.88,257.12,250.615,255.8,251.19415819207,258389,0.0,1.0
2023-06-20,253.9,253.9,250.76,252.43,247.88483718696,292590,0.0,1.0
2023-06-16,255.55,256.14,252.54,256.07,251.459296670225,809350,0.0,1.0
2023-06-15,253.12,256.31,252.7,255.9,251.292357628424,292884,0.0,1.0
2023-06-14,260.83,261.9,253.85,254.85,250.261263546713,354975,0.0,1.0
2023-06-13,253.28,259.8,253.28,258.51,253.855362917248,497627,0.0,1.0
2023-06-12,245.81,253.2,245.2596,251.72,247.18762118885,367258,0.0,1.0
2023-06-09,246.89,247.93,244.905,246.62,242.179449934826,367159,0.0,1.0
2023-06-08,250.16,251.58,245.1001,247.35,242.896305820206,404504,0.0,1.0
2023-06-07,245.0,249.79,242.995,249.17,244.683535561838,336210,0.0,1.0
2023-06-06,239.32,245.38,238.59,245.1,240.686818502253,288879,0.0,1.0
2023-06-05,240.24,240.88,234.56,239.39,235.079630686473,246928,0.0,1.0
2023-06-02,236.48,242.27,236.48,241.69,237.338217722601,388069,0.0,1.0
2023-06-01,234.51,235.77,231.41,232.21,228.028911156296,422381,0.0,1.0
2023-05-31,230.59,234.99,229.12,234.68,230.454437234226,1783883,0.0,1.0
