,RS_Open,RS_High,RS_Low,RS_Close,RS_Adj Close,RS_Volume,RS_Dividend Amount,RS_Split Coefficient
2024-10-04,284.2,284.98,280.48,281.38,281.38,227327,0.0,1.0
2024-10-03,284.64,285.07,279.02,279.86,279.86,272811,0.0,1.0
2024-10-02,289.77,292.1,284.03,285.93,285.93,221025,0.0,1.0
2024-10-01,287.94,291.035,285.555,289.96,289.96,227779,0.0,1.0
2024-09-30,289.82,289.82,286.0,289.21,289.21,276339,0.0,1.0
2024-09-27,291.95,292.755,287.975,289.62,289.62,214584,0.0,1.0
2024-09-26,291.37,293.68,289.34,289.99,289.99,258332,0.0,1.0
2024-09-25,289.01,289.43,285.39,287.46,287.46,365449,0.0,1.0
2024-09-24,287.34,290.745,286.29,289.42,289.42,375234,0.0,1.0
2024-09-23,281.82,284.035,278.7,283.73,283.73,390257,0.0,1.0
2024-09-20,282.73,282.96,279.9639,281.08,281.08,1416770,0.0,1.0
2024-09-19,282.97,287.0,279.93,286.14,286.14,370354,0.0,1.0
2024-09-18,281.0,282.495,276.35,277.11,277.11,365072,0.0,1.0
2024-09-17,280.2,282.9,277.83,280.61,280.61,265215,0.0,1.0
2024-09-16,279.39,280.75,276.595,279.29,279.29,263086,0.0,1.0
2024-09-13,276.3,280.0,274.6,277.9,277.9,281648,0.0,1.0
2024-09-12,273.8,274.75,270.98,274.04,274.04,322991,0.0,1.0
2024-09-11,270.44,273.13,264.99,272.22,272.22,542785,0.0,1.0
2024-09-10,272.73,273.28,268.61,271.23,271.23,335781,0.0,1.0
2024-09-09,273.61,276.38,271.87,272.37,272.37,378636,0.0,1.0
2024-09-06,271.62,274.71,270.6001,272.69,272.69,376493,0.0,1.0
2024-09-05,273.67,273.67,269.67,271.96,271.96,433115,0.0,1.0
2024-09-04,272.0,275.93,271.595,273.46,273.46,330392,0.0,1.0
2024-09-03,283.55,283.55,271.41,272.79,272.79,365831,0.0,1.0
2024-08-30,281.41,286.78,280.7321,286.65,286.65,507063,0.0,1.0
2024-08-29,280.5,285.0,278.48,280.6,280.6,260521,0.0,1.0
2024-08-28,281.37,281.37,277.46,278.37,278.37,321940,0.0,1.0
2024-08-27,286.24,286.24,280.565,281.78,281.78,255961,0.0,1.0
2024-08-26,284.83,287.06,283.08,286.71,286.71,495818,0.0,1.0
2024-08-23,281.0,283.22,279.03,282.14,282.14,274213,0.0,1.0
2024-08-22,283.5,283.5,278.08,279.2,279.2,288210,0.0,1.0
2024-08-21,281.66,283.78,279.39,283.35,283.35,230654,0.0,1.0
2024-08-20,280.44,281.16,278.18,279.07,279.07,237968,0.0,1.0
2024-08-19,281.99,284.0,279.61,280.19,280.19,206514,0.0,1.0
2024-08-16,282.22,283.75,280.7,281.54,281.54,197529,1.1,1.0
2024-08-15,284.67,286.22,280.825,283.5,282.396652986131,231236,0.0,1.0
2024-08-14,282.82,282.82,277.79,280.14,279.04972969148,272783,0.0,1.0
2024-08-13,279.84,283.36,278.66,282.53,281.430428106425,331575,0.0,1.0
2024-08-12,282.82,282.82,278.47,278.81,277.724905887348,310565,0.0,1.0
2024-08-09,285.72,285.72,281.17,282.82,281.719299462213,358354,0.0,1.0
2024-08-08,284.57,287.36,283.92,285.3,284.189647608265,275898,0.0,1.0
2024-08-07,291.53,293.86,282.39,282.41,281.310895131616,422691,0.0,1.0
2024-08-06,284.3,291.88,282.25,287.11,285.992603311633,474759,0.0,1.0
2024-08-05,277.14,289.49,275.0,283.99,282.884745966601,648474,0.0,1.0
2024-08-02,289.21,290.795,283.82,287.22,286.102175205208,402335,0.0,1.0
2024-08-01,304.94,307.275,293.51,295.95,294.798199122559,342755,0.0,1.0
2024-07-31,303.86,311.23,303.61,304.56,303.3746900651,417780,0.0,1.0
2024-07-30,304.0,305.99,300.48,302.0,300.824653269176,308047,0.0,1.0
