,LITE_Open,LITE_High,LITE_Low,LITE_Close,LITE_Adj Close,LITE_Volume,LITE_Dividend Amount,LITE_Split Coefficient
2024-10-04,67.98,68.81,66.68,68.8,68.8,2260693,0.0,1.0
2024-10-03,63.88,66.22,63.72,66.16,66.16,1406745,0.0,1.0
2024-10-02,61.5,65.01,61.5,65.0,65.0,1150196,0.0,1.0
2024-10-01,63.56,64.13,60.84,61.49,61.49,1426801,0.0,1.0
2024-09-30,63.9,64.13,62.34,63.38,63.38,1171482,0.0,1.0
2024-09-27,65.02,65.516,63.53,64.53,64.53,2313560,0.0,1.0
2024-09-26,62.42,65.24,62.3196,64.74,64.74,2515637,0.0,1.0
2024-09-25,60.6,61.63,60.08,60.95,60.95,1505679,0.0,1.0
2024-09-24,61.58,62.08,59.815,60.79,60.79,2399928,0.0,1.0
2024-09-23,61.215,62.15,60.395,61.23,61.23,1171093,0.0,1.0
2024-09-20,61.0,61.45,59.7501,61.35,61.35,1583112,0.0,1.0
2024-09-19,60.03,62.21,58.98,61.14,61.14,2657299,0.0,1.0
2024-09-18,58.58,59.93,57.82,58.28,58.28,1341823,0.0,1.0
2024-09-17,57.0,58.52,56.84,58.37,58.37,1668607,0.0,1.0
2024-09-16,55.11,56.83,54.4,56.59,56.59,1490700,0.0,1.0
2024-09-13,54.72,56.62,54.68,55.78,55.78,965371,0.0,1.0
2024-09-12,54.14,55.17,53.425,54.25,54.25,1230760,0.0,1.0
2024-09-11,51.25,54.02,50.84,53.95,53.95,855735,0.0,1.0
2024-09-10,51.08,51.77,50.29,51.1,51.1,654372,0.0,1.0
2024-09-09,52.11,52.4,50.595,51.2,51.2,1301044,0.0,1.0
2024-09-06,55.0,55.0,51.685,52.11,52.11,1258774,0.0,1.0
2024-09-05,55.41,55.88,54.11,55.08,55.08,744665,0.0,1.0
2024-09-04,52.6,56.01,52.51,55.43,55.43,1534463,0.0,1.0
2024-09-03,57.0,57.095,52.9,53.01,53.01,1881043,0.0,1.0
2024-08-30,57.09,57.79,56.5357,57.61,57.61,1674628,0.0,1.0
2024-08-29,56.81,58.01,55.87,56.53,56.53,1264425,0.0,1.0
2024-08-28,57.4,57.77,55.69,56.57,56.57,1205906,0.0,1.0
2024-08-27,55.29,57.75,55.07,57.48,57.48,1100435,0.0,1.0
2024-08-26,58.72,58.75,56.145,56.41,56.41,1851952,0.0,1.0
2024-08-23,55.99,59.18,55.78,59.17,59.17,1973390,0.0,1.0
2024-08-22,57.1,57.65,55.49,55.59,55.59,1321189,0.0,1.0
2024-08-21,55.28,57.11,54.68,56.39,56.39,1624949,0.0,1.0
2024-08-20,53.11,57.08,53.0,56.09,56.09,2895722,0.0,1.0
2024-08-19,51.98,52.85,51.14,52.82,52.82,1962534,0.0,1.0
2024-08-16,52.27,54.16,51.45,51.98,51.98,2467378,0.0,1.0
2024-08-15,51.25,53.39,50.5875,52.26,52.26,7859676,0.0,1.0
2024-08-14,46.37,47.5,45.5,45.53,45.53,2722600,0.0,1.0
2024-08-13,45.49,46.57,44.77,46.24,46.24,2362376,0.0,1.0
2024-08-12,43.77,45.91,43.28,44.94,44.94,1509023,0.0,1.0
2024-08-09,43.22,43.66,42.05,43.25,43.25,950309,0.0,1.0
2024-08-08,42.12,43.42,40.9,43.34,43.34,1536357,0.0,1.0
2024-08-07,42.65,43.98,40.26,40.28,40.28,1425058,0.0,1.0
2024-08-06,41.81,43.08,40.96,41.59,41.59,1654389,0.0,1.0
2024-08-05,40.7,42.14,38.285,41.47,41.47,3649997,0.0,1.0
2024-08-02,46.3,47.025,44.29,44.33,44.33,1795908,0.0,1.0
2024-08-01,52.12,52.91,47.66,48.01,48.01,2060578,0.0,1.0
2024-07-31,50.36,52.91,50.0112,51.78,51.78,2367668,0.0,1.0
2024-07-30,51.86,52.24,48.56,49.05,49.05,2319905,0.0,1.0
2024-07-29,51.99,52.92,51.48,51.8,51.8,628227,0.0,1.0
2024-07-26,51.45,51.86,50.545,51.83,51.83,1255207,0.0,1.0
2024-07-25,52.78,52.78,50.71,50.83,50.83,1568101,0.0,1.0
2024-07-24,54.12,54.82,52.67,52.71,52.71,1323630,0.0,1.0
2024-07-23,54.86,55.45,54.03,54.8,54.8,1069943,0.0,1.0
2024-07-22,55.62,55.83,54.55,55.42,55.42,1023940,0.0,1.0
2024-07-19,55.51,55.73,54.3,54.77,54.77,960618,0.0,1.0
2024-07-18,57.5,57.93,54.5,55.5,55.5,2316374,0.0,1.0
2024-07-17,58.33,58.62,56.87,57.41,57.41,1362724,0.0,1.0
2024-07-16,58.27,59.19,57.13,59.09,59.09,1326616,0.0,1.0
2024-07-15,59.15,59.63,57.83,57.97,57.97,1086885,0.0,1.0
2024-07-12,57.84,60.4,57.43,59.24,59.24,1351793,0.0,1.0
2024-07-11,56.8,57.56,56.05,57.33,57.33,1234601,0.0,1.0
2024-07-10,56.26,56.54,55.33,56.26,56.26,968719,0.0,1.0
2024-07-09,56.11,56.49,55.0365,55.84,55.84,844193,0.0,1.0
2024-07-08,55.8,57.54,55.4,56.19,56.19,1475088,0.0,1.0
2024-07-05,54.14,55.43,53.766,55.35,55.35,677417,0.0,1.0
2024-07-03,54.08,54.515,53.8,54.24,54.24,537654,0.0,1.0
2024-07-02,51.3,54.0,51.3,53.94,53.94,1492418,0.0,1.0
2024-07-01,50.63,51.77,50.47,51.43,51.43,1118266,0.0,1.0
2024-06-28,49.4,51.5,49.1,50.92,50.92,1576523,0.0,1.0
2024-06-27,49.0,49.13,47.84,49.04,49.04,599444,0.0,1.0
2024-06-26,49.04,49.34,48.39,49.13,49.13,621744,0.0,1.0
2024-06-25,47.58,49.465,47.2,49.19,49.19,587505,0.0,1.0
2024-06-24,48.45,49.43,47.52,47.58,47.58,472698,0.0,1.0
