,BA_Open,BA_High,BA_Low,BA_Close,BA_Adj Close,BA_Volume,BA_Dividend Amount,BA_Split Coefficient
2024-10-04,152.26,155.0,150.85,155.0,155.0,6680591,0.0,1.0
2024-10-03,152.12,152.74,150.51,150.52,150.52,5704814,0.0,1.0
2024-10-02,153.765,154.8499,152.835,152.89,152.89,4357023,0.0,1.0
2024-10-01,151.46,156.4,149.49,154.22,154.22,12588778,0.0,1.0
2024-09-30,154.79,155.3,151.24,152.04,152.04,10925178,0.0,1.0
2024-09-27,155.365,157.33,154.39,156.32,156.32,7636991,0.0,1.0
2024-09-26,153.94,157.33,152.66,154.58,154.58,11414380,0.0,1.0
2024-09-25,156.42,157.22,152.045,152.22,152.22,9587697,0.0,1.0
2024-09-24,155.8,155.9,153.69,155.81,155.81,7414902,0.0,1.0
2024-09-23,153.0,158.43,151.65,156.3,156.3,12476805,0.0,1.0
2024-09-20,154.01,154.64,152.6,153.29,153.29,13919395,0.0,1.0
2024-09-19,157.0,157.18,154.27,154.59,154.59,9570002,0.0,1.0
2024-09-18,157.0,158.45,154.8,155.11,155.11,7714430,0.0,1.0
2024-09-17,156.17,158.88,155.14,156.39,156.39,8123236,0.0,1.0
2024-09-16,156.25,157.76,154.02,155.55,155.55,9955158,0.0,1.0
2024-09-13,159.78,162.8899,155.6,156.77,156.77,19003354,0.0,1.0
2024-09-12,159.42,163.5,159.06,162.77,162.77,4756367,0.0,1.0
2024-09-11,159.79,161.8699,156.1,161.33,161.33,6664756,0.0,1.0
2024-09-10,162.61,163.9,157.93,160.07,160.07,6367077,0.0,1.0
2024-09-09,162.3,164.55,161.11,162.91,162.91,9091545,0.0,1.0
2024-09-06,162.5,162.85,156.695,157.62,157.62,7328641,0.0,1.0
2024-09-05,164.15,164.6163,160.1,162.15,162.15,4717520,0.0,1.0
2024-09-04,160.28,166.7,160.28,163.22,163.22,7083303,0.0,1.0
2024-09-03,167.03,169.6,158.3,161.02,161.02,17925418,0.0,1.0
2024-08-30,173.14,174.36,171.49,173.74,173.74,4146190,0.0,1.0
2024-08-29,171.71,175.28,170.62,172.26,172.26,4119472,0.0,1.0
2024-08-28,172.3,174.25,170.15,170.71,170.71,4550273,0.0,1.0
2024-08-27,173.62,173.93,171.25,173.05,173.05,3295800,0.0,1.0
2024-08-26,173.0,174.915,172.3,173.48,173.48,4034303,0.0,1.0
