,ICE_Open,ICE_High,ICE_Low,ICE_Close,ICE_Adj Close,ICE_Volume,ICE_Dividend Amount,ICE_Split Coefficient
2024-10-04,163.57,164.18,162.48,162.76,162.76,2233038,0.0,1.0
2024-10-03,161.14,163.35,160.68,163.26,163.26,2585892,0.0,1.0
2024-10-02,160.52,161.15,159.62,160.92,160.92,1982875,0.0,1.0
2024-10-01,161.07,162.12,159.32,161.14,161.14,3076885,0.0,1.0
2024-09-30,158.95,160.78,158.22,160.64,160.64,1760406,0.0,1.0
2024-09-27,158.27,159.285,157.74,158.62,158.62,3329491,0.0,1.0
2024-09-26,159.57,160.32,157.85,158.12,158.12,3239905,0.0,1.0
2024-09-25,158.91,159.8,158.51,159.45,159.45,2827103,0.0,1.0
2024-09-24,159.63,159.788,157.48,158.75,158.75,2826677,0.0,1.0
2024-09-23,159.84,160.98,159.4,159.95,159.95,1639272,0.0,1.0
2024-09-20,159.02,159.85,158.23,159.84,159.84,4843357,0.0,1.0
2024-09-19,162.18,162.39,157.95,158.87,158.87,4459110,0.0,1.0
2024-09-18,162.81,163.27,161.14,161.22,161.22,2917109,0.0,1.0
2024-09-17,161.79,163.27,161.71,162.81,162.81,2319411,0.0,1.0
2024-09-16,161.46,162.81,161.245,161.91,161.91,1681502,0.45,1.0
2024-09-13,161.32,161.63,160.7,161.36,160.912771618625,2418684,0.0,1.0
2024-09-12,160.05,161.55,159.635,161.14,160.693381374723,4332232,0.0,1.0
2024-09-11,161.27,161.53,157.88,159.99,159.546568736142,3072533,0.0,1.0
2024-09-10,162.14,162.755,160.995,161.97,161.521080931264,2008517,0.0,1.0
2024-09-09,161.43,162.8,160.95,161.7,161.251829268293,3669155,0.0,1.0
2024-09-06,162.97,163.71,159.705,160.49,160.045182926829,2902217,0.0,1.0
2024-09-05,162.18,162.92,161.05,162.6,162.14933481153,1905475,0.0,1.0
2024-09-04,161.63,162.76,161.19,162.43,161.979805986696,2245779,0.0,1.0
2024-09-03,161.44,162.4,160.22,161.44,160.992549889135,2556043,0.0,1.0
2024-08-30,160.47,161.76,159.95,161.55,161.102245011086,3067676,0.0,1.0
2024-08-29,160.77,161.28,160.08,160.22,159.775931263858,2119815,0.0,1.0
2024-08-28,160.8,161.97,160.21,160.77,160.324406873614,2341511,0.0,1.0
2024-08-27,160.49,161.49,159.74,160.6,160.15487804878,1344708,0.0,1.0
2024-08-26,160.51,161.11,159.87,160.31,159.865681818182,926041,0.0,1.0
