,GS_Open,GS_High,GS_Low,GS_Close,GS_Adj Close,GS_Volume,GS_Dividend Amount,GS_Split Coefficient
2024-10-07,494.63,499.01,490.79,494.62,494.62,1173326,0.0,1.0
2024-10-04,495.64,496.31,486.0,495.16,495.16,1721821,0.0,1.0
2024-10-03,489.93,490.505,484.2,486.1,486.1,1290719,0.0,1.0
2024-10-02,491.17,494.85932,487.95,491.99,491.99,1445116,0.0,1.0
2024-10-01,494.575,494.575,484.61,490.17,490.17,1528568,0.0,1.0
2024-09-30,494.89,496.515,488.9,495.11,495.11,1603079,0.0,1.0
2024-09-27,498.97,505.4,495.86,498.51,498.51,1420298,0.0,1.0
2024-09-26,494.0,498.4,492.48,496.92,496.92,1378145,0.0,1.0
2024-09-25,498.5,502.0,490.395,491.14,491.14,1763943,0.0,1.0
2024-09-24,497.59,499.56,494.1,498.02,498.02,1035466,0.0,1.0
2024-09-23,498.21,501.4,495.2201,497.41,497.41,953191,0.0,1.0
2024-09-20,500.19,502.05,495.475,498.43,498.43,4452617,0.0,1.0
2024-09-19,494.74,506.41,493.46,503.83,503.83,3060671,0.0,1.0
2024-09-18,485.4,492.99,481.7737,484.58,484.58,1699498,0.0,1.0
2024-09-17,488.0,489.73,481.8,485.39,485.39,1444884,0.0,1.0
2024-09-16,481.43,487.38,479.49,485.16,485.16,1500456,0.0,1.0
2024-09-13,475.99,482.1,475.5,478.99,478.99,1794645,0.0,1.0
2024-09-12,471.3,474.34,465.4,474.06,474.06,1482197,0.0,1.0
2024-09-11,463.98,471.89,457.48,471.17,471.17,2426457,0.0,1.0
2024-09-10,489.13,489.2,461.57,467.13,467.13,3583073,0.0,1.0
2024-09-09,485.53,494.28,483.3895,488.57,488.57,1714183,0.0,1.0
2024-09-06,486.6,495.41,477.06,479.61,479.61,1995561,0.0,1.0
2024-09-05,493.58,495.768,483.07,487.88,487.88,1828331,0.0,1.0
2024-09-04,486.7,496.195,486.7,490.64,490.64,1487273,0.0,1.0
2024-09-03,507.47,509.7,485.4,487.46,487.46,2373571,0.0,1.0
2024-08-30,507.83,511.185,505.17,510.25,510.25,1839064,3.0,1.0
2024-08-29,506.0,513.24,501.14,510.1,507.118412079883,1566250,0.0,1.0
2024-08-28,506.6,508.37,498.47,503.33,500.38798343887,1568072,0.0,1.0
