,OGS_Open,OGS_High,OGS_Low,OGS_Close,OGS_Adj Close,OGS_Volume,OGS_Dividend Amount,OGS_Split Coefficient
2024-07-29,70.59,70.68,69.66,70.07,69.3818125,349709,0.0,1.0
2024-07-26,69.78,70.69,69.055,70.49,69.7976875,370312,0.0,1.0
2024-07-25,69.47,70.54,69.11,69.17,68.4906517857143,453066,0.0,1.0
2024-07-24,68.85,69.8,68.815,69.14,68.4609464285714,477364,0.0,1.0
2024-07-23,68.57,68.91,67.995,68.68,68.0054642857143,343621,0.0,1.0
2024-07-22,68.44,68.985,68.05,68.66,67.9856607142857,232379,0.0,1.0
2024-07-19,68.53,68.645,67.31,68.3,67.6291964285714,291739,0.0,1.0
2024-07-18,69.19,70.255,68.42,68.49,67.8173303571429,402539,0.0,1.0
2024-07-17,68.53,70.83,68.53,69.65,68.9659375,638818,0.0,1.0
2024-07-16,66.48,68.62,66.425,68.29,67.6192946428571,619963,0.0,1.0
2024-07-15,65.93,66.595,65.18,66.24,65.5894285714286,504101,0.0,1.0
2024-07-12,65.31,66.33,65.31,65.65,65.0052232142857,407318,0.0,1.0
2024-07-11,64.35,65.26,63.69,64.72,64.0843571428571,742560,0.0,1.0
2024-07-10,63.27,63.6,62.32,63.48,62.8565357142857,380887,0.0,1.0
2024-07-09,62.15,62.97,61.74,62.86,62.242625,315987,0.0,1.0
2024-07-08,62.81,63.12,61.54,62.22,61.6089107142857,577831,0.0,1.0
2024-07-05,63.76,64.195,62.42,62.6,61.9851785714286,534080,0.0,1.0
2024-07-03,63.91,64.51,63.135,63.76,63.1337857142857,1004196,0.0,1.0
2024-07-02,62.91,64.95,62.83,64.0,63.3714285714286,1492232,0.0,1.0
2024-07-01,64.08,64.1,62.73,62.78,62.1634107142857,696870,0.0,1.0
2024-06-28,63.39,64.31,62.86,63.85,63.2229017857143,1537907,0.0,1.0
2024-06-27,61.22,63.0,61.13,62.88,62.2624285714286,510454,0.0,1.0
2024-06-26,60.5,61.33,59.8,61.22,60.6187321428571,510945,0.0,1.0
2024-06-25,61.13,61.13,60.23,60.5,59.9058035714286,376203,0.0,1.0
2024-06-24,60.19,61.54,60.19,61.33,60.7276517857143,226928,0.0,1.0
2024-06-21,60.83,60.9125,60.14,60.14,59.5493392857143,645709,0.0,1.0
2024-06-20,60.19,61.195,60.0,60.68,60.0840357142857,339382,0.0,1.0
2024-06-18,60.63,61.05,60.2,60.23,59.6384553571429,314705,0.0,1.0
2024-06-17,60.4,61.52,60.4,60.71,60.1137410714286,309458,0.0,1.0
2024-06-14,60.41,60.88,60.24,60.79,60.1929553571429,282179,0.0,1.0
2024-06-13,61.26,61.26,60.58,60.79,60.1929553571429,322495,0.0,1.0
2024-06-12,62.16,62.47,61.13,61.35,60.7474553571429,457406,0.0,1.0
2024-06-11,60.36,61.17,60.27,60.75,60.1533482142857,380158,0.0,1.0
2024-06-10,59.95,60.949,59.74,60.87,60.2721696428571,299273,0.0,1.0
2024-06-07,60.19,60.635,60.0,60.43,59.8364910714286,347607,0.0,1.0
2024-06-06,61.14,61.44,60.51,60.67,60.0741339285714,345880,0.0,1.0
2024-06-05,62.78,62.835,61.44,61.45,60.8464732142857,285145,0.0,1.0
2024-06-04,62.51,63.38,62.17,63.15,62.5297767857143,321038,0.0,1.0
2024-06-03,61.99,63.26,61.55,62.87,62.2525267857143,503606,0.0,1.0
2024-05-31,59.77,61.74,59.72,61.63,61.0247053571429,640825,0.0,1.0
2024-05-30,58.93,59.65,58.82,59.35,58.7670982142857,300218,0.0,1.0
2024-05-29,58.6,59.0,58.305,58.54,57.9650535714286,266856,0.0,1.0
2024-05-28,60.48,60.56,59.06,59.09,58.5096517857143,326938,0.0,1.0
2024-05-24,60.57,60.8,59.92,60.12,59.5295357142857,279476,0.0,1.0
2024-05-23,62.31,62.31,60.27,60.37,59.7770803571429,346075,0.0,1.0
2024-05-22,63.81,63.81,62.67,62.73,62.1139017857143,224945,0.0,1.0
2024-05-21,63.75,64.18,63.55,64.11,63.4803482142857,355538,0.0,1.0
2024-05-20,63.61,64.09,63.295,63.9,63.2724107142857,363457,0.0,1.0
