,MNK_Open,MNK_High,MNK_Low,MNK_Close,MNK_Adj Close,MNK_Volume,MNK_Dividend Amount,MNK_Split Coefficient
2023-11-14,0.07,0.131,0.07,0.12,0.12,39227,0.0,1.0
2023-11-13,0.07,0.07,0.07,0.07,0.07,256,0.0,1.0
2023-11-10,0.08,0.0925,0.08,0.0925,0.0925,1570,0.0,1.0
2023-11-09,0.061,0.1,0.061,0.093,0.093,12446,0.0,1.0
2023-11-08,0.09,0.0981,0.09,0.0981,0.0981,17836,0.0,1.0
2023-11-07,0.085,0.145,0.08,0.09,0.09,117854,0.0,1.0
2023-11-06,0.06,0.085,0.06,0.08,0.08,16813,0.0,1.0
2023-11-03,0.058,0.07,0.058,0.06,0.06,5003,0.0,1.0
2023-11-02,0.105,0.138,0.06,0.075,0.075,6768,0.0,1.0
2023-11-01,0.09,0.09,0.06,0.075,0.075,2120,0.0,1.0
2023-10-31,0.082,0.09,0.082,0.082,0.082,13474,0.0,1.0
2023-10-30,0.082,0.091,0.082,0.085,0.085,1371,0.0,1.0
2023-10-27,0.082,0.082,0.082,0.082,0.082,22254,0.0,1.0
2023-10-26,0.082,0.09095,0.082,0.082,0.082,43126,0.0,1.0
2023-10-25,0.081,0.0905,0.081,0.081,0.081,10667,0.0,1.0
2023-10-24,0.0645,0.143,0.055,0.08,0.08,182101,0.0,1.0
2023-10-23,0.05,0.065,0.05,0.06,0.06,7182,0.0,1.0
2023-10-20,0.05,0.07,0.05,0.058,0.058,20201,0.0,1.0
2023-10-19,0.06,0.0625,0.06,0.06,0.06,1651,0.0,1.0
2023-10-18,0.06,0.07,0.0475,0.07,0.07,348559,0.0,1.0
2023-10-17,0.0399,0.065,0.0365,0.05,0.05,50273,0.0,1.0
2023-10-16,0.04,0.04,0.035,0.03825,0.03825,47259,0.0,1.0
2023-10-13,0.05,0.05,0.0375,0.0375,0.0375,51172,0.0,1.0
2023-10-12,0.05,0.05,0.04,0.04505,0.04505,37331,0.0,1.0
2023-10-11,0.05,0.05,0.032,0.04553,0.04553,39947,0.0,1.0
2023-10-10,0.051,0.0705,0.0301,0.05,0.05,230933,0.0,1.0
2023-10-09,0.09,0.09,0.051,0.058,0.058,352420,0.0,1.0
2023-10-06,0.08,0.10375,0.052,0.07,0.07,493756,0.0,1.0
2023-10-05,0.06,0.08,0.05,0.08,0.08,106559,0.0,1.0
2023-10-04,0.0614,0.0862,0.026005,0.06,0.06,420714,0.0,1.0
2023-10-03,0.099,0.1,0.0502,0.07,0.07,16269,0.0,1.0
2023-10-02,0.0411,0.1,0.0411,0.09,0.09,82646,0.0,1.0
2023-09-29,0.08,0.08525,0.041,0.08525,0.08525,1924,0.0,1.0
2023-09-28,0.06,0.08,0.06,0.08,0.08,34314,0.0,1.0
2023-09-27,0.06,0.0601,0.06,0.06,0.06,29664,0.0,1.0
2023-09-26,0.07815,0.08,0.06,0.06,0.06,54349,0.0,1.0
2023-09-25,0.0576,0.085,0.0576,0.06,0.06,1603,0.0,1.0
2023-09-22,0.0766,0.085,0.055,0.085,0.085,80248,0.0,1.0
2023-09-21,0.1,0.1088,0.0766,0.0766,0.0766,155337,0.0,1.0
2023-09-20,0.1001,0.12,0.1001,0.1001,0.1001,6664,0.0,1.0
2023-09-19,0.1001,0.125,0.1,0.1,0.1,61402,0.0,1.0
2023-09-18,0.1107,0.11355,0.105,0.105,0.105,13553,0.0,1.0
2023-09-15,0.13,0.13,0.1036,0.11,0.11,13777,0.0,1.0
2023-09-14,0.1,0.13,0.0951,0.108,0.108,39027,0.0,1.0
2023-09-13,0.13,0.13,0.105,0.1051,0.1051,58034,0.0,1.0
2023-09-12,0.095,0.1125,0.0931,0.1,0.1,55108,0.0,1.0
2023-09-11,0.1,0.135,0.1,0.135,0.135,95852,0.0,1.0
2023-09-08,0.0901,0.14,0.09,0.13,0.13,376858,0.0,1.0
2023-09-07,0.1045,0.1045,0.0861,0.0909,0.0909,185492,0.0,1.0
2023-09-06,0.12,0.14,0.0856,0.11,0.11,142826,0.0,1.0
2023-09-05,0.15,0.15,0.12,0.12,0.12,98659,0.0,1.0
2023-09-01,0.1116,0.125,0.07,0.122,0.122,478197,0.0,1.0
2023-08-31,0.14,0.18,0.1102,0.114,0.114,654461,0.0,1.0
2023-08-30,0.1911,0.20005,0.135,0.135,0.135,1063219,0.0,1.0
2023-08-29,0.2205,0.299,0.161,0.21,0.21,1942830,0.0,1.0
2023-08-28,0.3402,0.3402,0.3402,0.3402,0.3402,1472,0.0,1.0
2023-08-25,0.4,0.4102,0.3,0.3402,0.3402,543145,0.0,1.0
2023-08-24,0.4694,0.4754,0.4001,0.4001,0.4001,478605,0.0,1.0
2023-08-23,0.4869,0.6,0.45,0.4754,0.4754,1881487,0.0,1.0
2023-08-22,0.5844,0.588,0.520101,0.588,0.588,218575,0.0,1.0
2023-08-21,0.5899,0.618,0.55,0.5595,0.5595,386416,0.0,1.0
2023-08-18,0.68,0.7,0.582,0.588,0.588,472218,0.0,1.0
2023-08-17,0.6,0.6934,0.57,0.6934,0.6934,616504,0.0,1.0
2023-08-16,0.7371,0.778,0.534901,0.5786,0.5786,1034403,0.0,1.0
2023-08-15,0.9674,0.988,0.72,0.735,0.735,1499763,0.0,1.0
2023-08-14,0.9097,1.1,0.9097,0.988,0.988,858909,0.0,1.0
2023-08-11,0.9739,0.990899,0.87,0.895,0.895,616623,0.0,1.0
2023-08-10,1.05,1.15,0.99,1.0,1.0,1405017,0.0,1.0
2023-08-09,1.34,1.4,0.88,0.9946,0.9946,3139419,0.0,1.0
2023-08-08,1.69,2.04,1.35,1.45,1.45,8844818,0.0,1.0
2023-08-07,1.49,1.93,1.45,1.81,1.81,12164186,0.0,1.0
2023-08-04,1.39,1.48,1.27,1.37,1.37,1620065,0.0,1.0
2023-08-03,1.47,1.589,1.22,1.3,1.3,2205344,0.0,1.0
2023-08-02,1.5,1.8,1.41,1.43,1.43,5138836,0.0,1.0
2023-08-01,1.45,1.92,1.39,1.47,1.47,9345849,0.0,1.0
2023-07-31,1.16,1.73,1.14,1.62,1.62,18861181,0.0,1.0
