,QLYS_Open,QLYS_High,QLYS_Low,QLYS_Close,QLYS_Adj Close,QLYS_Volume,QLYS_Dividend Amount,QLYS_Split Coefficient
2024-07-29,148.15,148.98,144.22,145.49,145.49,319079,0.0,1.0
2024-07-26,145.57,147.52,144.5,147.47,147.47,303386,0.0,1.0
2024-07-25,142.4,147.035,141.9,144.46,144.46,301022,0.0,1.0
2024-07-24,144.46,146.43,141.18,141.73,141.73,314686,0.0,1.0
2024-07-23,143.12,145.87,141.01,145.24,145.24,315883,0.0,1.0
2024-07-22,143.08,144.015,141.75,143.37,143.37,294023,0.0,1.0
2024-07-19,145.27,146.205,141.0,142.55,142.55,458950,0.0,1.0
2024-07-18,146.36,147.345,143.51,145.15,145.15,392307,0.0,1.0
2024-07-17,148.0,148.15,145.19,146.67,146.67,418561,0.0,1.0
2024-07-16,143.62,148.64,143.27,148.51,148.51,555705,0.0,1.0
2024-07-15,143.15,144.505,142.32,142.73,142.73,411227,0.0,1.0
2024-07-12,143.0,144.0,142.0,142.19,142.19,290799,0.0,1.0
2024-07-11,143.5,147.49,141.598,142.18,142.18,328300,0.0,1.0
2024-07-10,140.14,141.1,137.9,140.85,140.85,205988,0.0,1.0
2024-07-09,141.67,141.67,138.325,139.5,139.5,281324,0.0,1.0
2024-07-08,145.21,145.75,140.78,141.67,141.67,293738,0.0,1.0
2024-07-05,143.11,145.66,142.96,145.28,145.28,318423,0.0,1.0
2024-07-03,143.52,144.9,142.18,143.39,143.39,174018,0.0,1.0
2024-07-02,142.43,144.06,142.4,143.58,143.58,248630,0.0,1.0
2024-07-01,142.31,142.475,140.86,142.28,142.28,276829,0.0,1.0
2024-06-28,142.82,143.985,141.86,142.6,142.6,469603,0.0,1.0
2024-06-27,138.01,142.67,138.01,142.28,142.28,353830,0.0,1.0
2024-06-26,137.63,139.135,137.03,137.66,137.66,347745,0.0,1.0
2024-06-25,138.46,139.88,137.69,138.37,138.37,266442,0.0,1.0
2024-06-24,139.21,141.24,138.14,138.84,138.84,335012,0.0,1.0
2024-06-21,135.89,139.8,135.63,139.21,139.21,1593725,0.0,1.0
2024-06-20,132.41,136.36,132.37,135.67,135.67,402657,0.0,1.0
2024-06-18,135.87,135.87,131.065,132.78,132.78,734578,0.0,1.0
2024-06-17,136.17,137.09,135.3,136.74,136.74,382725,0.0,1.0
2024-06-14,137.5,137.5,135.305,136.69,136.69,435964,0.0,1.0
2024-06-13,141.09,141.09,138.19,138.19,138.19,299109,0.0,1.0
2024-06-12,140.28,142.7,139.24,140.48,140.48,318786,0.0,1.0
2024-06-11,135.82,138.805,135.58,138.45,138.45,281476,0.0,1.0
2024-06-10,135.45,138.72,134.755,136.66,136.66,374310,0.0,1.0
2024-06-07,134.26,136.4475,132.52,136.02,136.02,461093,0.0,1.0
2024-06-06,135.23,137.46,134.91,135.12,135.12,320816,0.0,1.0
2024-06-05,135.11,136.63,133.24,135.79,135.79,421121,0.0,1.0
2024-06-04,135.38,136.3251,132.81,133.57,133.57,455305,0.0,1.0
2024-06-03,141.23,141.49,135.13,135.67,135.67,494394,0.0,1.0
2024-05-31,139.76,140.62,138.47,140.62,140.62,408536,0.0,1.0
2024-05-30,141.0,141.0,138.49,139.5,139.5,419230,0.0,1.0
2024-05-29,141.46,142.79,140.34,141.05,141.05,413786,0.0,1.0
2024-05-28,146.14,146.14,141.93,143.37,143.37,413915,0.0,1.0
2024-05-24,146.44,146.885,144.56,146.48,146.48,323037,0.0,1.0
2024-05-23,146.32,147.4,145.16,146.25,146.25,324690,0.0,1.0
2024-05-22,144.92,146.505,144.1981,145.31,145.31,341440,0.0,1.0
2024-05-21,146.19,146.19,143.31,144.52,144.52,415304,0.0,1.0
2024-05-20,147.0,147.05,143.71,146.39,146.39,696388,0.0,1.0
2024-05-17,149.52,149.52,146.57,147.12,147.12,359860,0.0,1.0
2024-05-16,148.78,150.91,146.685,149.62,149.62,359129,0.0,1.0
2024-05-15,150.74,151.81,148.16,148.67,148.67,493000,0.0,1.0
2024-05-14,149.65,151.54,149.18,149.73,149.73,394798,0.0,1.0
2024-05-13,151.17,151.51,148.61,148.8,148.8,419060,0.0,1.0
2024-05-10,152.46,153.57,150.05,150.31,150.31,380270,0.0,1.0
2024-05-09,150.0,151.9699,149.121,151.87,151.87,550547,0.0,1.0
2024-05-08,158.6,158.96,147.58,149.75,149.75,1762766,0.0,1.0
2024-05-07,169.41,171.0,165.26,165.98,165.98,814451,0.0,1.0
2024-05-06,165.99,170.58,165.99,170.19,170.19,518821,0.0,1.0
2024-05-03,167.97,168.75,162.4001,165.37,165.37,357412,0.0,1.0
2024-05-02,166.19,167.79,163.4,166.0,166.0,362683,0.0,1.0
2024-05-01,164.31,168.25,163.75,165.29,165.29,338162,0.0,1.0
2024-04-30,167.31,167.31,163.79,163.91,163.91,403756,0.0,1.0
2024-04-29,171.11,172.6981,167.81,168.27,168.27,305973,0.0,1.0
2024-04-26,171.18,173.215,170.01,170.36,170.36,261623,0.0,1.0
2024-04-25,169.22,170.39,167.385,169.74,169.74,338529,0.0,1.0
2024-04-24,172.48,173.49,170.36,172.11,172.11,355723,0.0,1.0
2024-04-23,168.8,174.2,168.8,171.54,171.54,404046,0.0,1.0
2024-04-22,164.91,169.48,164.28,168.44,168.44,431715,0.0,1.0
2024-04-19,162.68,164.805,161.44,163.55,163.55,637760,0.0,1.0
2024-04-18,163.48,165.005,160.73,162.84,162.84,377080,0.0,1.0
2024-04-17,165.89,166.43,162.27,162.75,162.75,629617,0.0,1.0
2024-04-16,161.16,165.76,160.35,164.46,164.46,405015,0.0,1.0
2024-04-15,166.25,166.74,161.92,162.05,162.05,478705,0.0,1.0
2024-04-12,165.97,166.91,165.0,166.15,166.15,302775,0.0,1.0
2024-04-11,166.36,167.395,164.7,166.78,166.78,209445,0.0,1.0
2024-04-10,163.86,166.19,162.43,165.395,165.395,332886,0.0,1.0
2024-04-09,166.84,168.62,166.7,167.39,167.39,217334,0.0,1.0
2024-04-08,165.13,167.89,163.955,166.66,166.66,293455,0.0,1.0
2024-04-05,164.25,165.9,164.25,164.84,164.84,315392,0.0,1.0
2024-04-04,167.65,168.0069,163.575,163.87,163.87,334396,0.0,1.0
2024-04-03,164.99,166.87,164.39,165.94,165.94,277531,0.0,1.0
2024-04-02,164.65,166.41,162.85,166.2,166.2,284562,0.0,1.0
2024-04-01,166.87,167.735,164.16,167.28,167.28,357166,0.0,1.0
2024-03-28,164.92,168.045,164.36,166.87,166.87,430707,0.0,1.0
2024-03-27,166.55,169.105,163.43,165.2,165.2,315872,0.0,1.0
2024-03-26,165.9,166.41,163.78,164.9,164.9,346350,0.0,1.0
2024-03-25,165.79,166.59,163.81,165.58,165.58,280747,0.0,1.0
2024-03-22,166.92,167.0,164.71,166.17,166.17,263469,0.0,1.0
2024-03-21,168.77,168.77,166.235,166.59,166.59,323470,0.0,1.0
2024-03-20,163.84,167.47,162.355,167.19,167.19,581072,0.0,1.0
2024-03-19,165.0,165.57,163.42,163.59,163.59,552871,0.0,1.0
2024-03-18,166.44,168.695,165.705,166.62,166.62,357855,0.0,1.0
2024-03-15,165.34,168.89,164.515,166.35,166.35,1305271,0.0,1.0
2024-03-14,171.64,172.51,165.61,167.36,167.36,669358,0.0,1.0
2024-03-13,172.0,174.31,170.95,171.64,171.64,346540,0.0,1.0
