,EV_Open,EV_High,EV_Low,EV_Close,EV_Adj Close,EV_Volume,EV_Dividend Amount,EV_Split Coefficient
2024-10-07,27.83,28.62,27.75,28.464,28.464,27140,0.0,1.0
2024-10-04,27.537,27.537,27.537,27.537,27.537,18,0.0,1.0
2024-10-03,26.82,27.1555,26.58,27.1555,27.1555,17096,0.0,1.0
2024-10-02,27.72,27.72,27.5853,27.5853,27.5853,1048,0.0,1.0
2024-10-01,26.9759,26.9759,26.9759,26.9759,26.9759,114,0.0,1.0
2024-09-30,26.915,26.915,26.8599,26.8599,26.8599,221,0.0,1.0
2024-09-27,26.3834,26.3834,26.3834,26.3834,26.3834,113,0.0,1.0
2024-09-26,26.0491,26.0491,26.0491,26.0491,26.0491,24,0.0,1.0
2024-09-25,25.07,25.07,24.9352,24.9352,24.9352,310,0.0,1.0
2024-09-24,25.01,25.0656,25.01,25.0656,25.0656,349,0.0,1.0
2024-09-23,23.96,23.96,23.9218,23.9218,23.9218,1328,0.0,1.0
2024-09-20,23.91,23.91,23.6436,23.6436,23.6436,339,0.0,1.0
2024-09-19,23.81,23.9153,23.78,23.9153,23.9153,704,0.0,1.0
2024-09-18,23.3514,23.3514,23.3514,23.3514,23.3514,48,0.0,1.0
2024-09-17,23.48,23.48,23.3371,23.3371,23.3371,247,0.0,1.0
2024-09-16,23.3411,23.3411,23.3411,23.3411,23.3411,18,0.0,1.0
2024-09-13,23.33,23.38,23.2651,23.2651,23.2651,1695,0.0,1.0
2024-09-12,23.3,23.3346,23.16,23.3346,23.3346,225,0.0,1.0
2024-09-11,22.72,23.1971,22.72,23.1971,23.1971,1087,0.0,1.0
2024-09-10,22.5,22.5,22.4531,22.4531,22.4531,226,0.0,1.0
2024-09-09,22.705,22.705,22.705,22.705,22.705,6,0.0,1.0
2024-09-06,22.5944,22.5944,22.5944,22.5944,22.5944,4,0.0,1.0
2024-09-05,23.2812,23.2812,23.2812,23.2812,23.2812,22,0.0,1.0
2024-09-04,23.1647,23.1647,23.1647,23.1647,23.1647,22,0.0,1.0
2024-09-03,22.7649,22.7649,22.7649,22.7649,22.7649,113,0.0,1.0
2024-08-30,23.2849,23.2849,23.2849,23.2849,23.2849,57,0.0,1.0
2024-08-29,23.028,23.028,23.028,23.028,23.028,24,0.0,1.0
2024-08-28,22.7408,22.7408,22.7408,22.7408,22.7408,14,0.0,1.0
2024-08-27,23.1301,23.1301,23.1301,23.1301,23.1301,19,0.0,1.0
2024-08-26,23.0801,23.1031,23.0801,23.1031,23.1031,173,0.0,1.0
2024-08-23,23.0403,23.0403,23.0403,23.0403,23.0403,120,0.0,1.0
2024-08-22,22.5979,22.5979,22.5979,22.5979,22.5979,22,0.0,1.0
2024-08-21,22.85,22.8589,22.85,22.8589,22.8589,204,0.0,1.0
2024-08-20,22.4335,22.4335,22.4335,22.4335,22.4335,5,0.0,1.0
2024-08-19,22.56,22.56,22.4608,22.5525,22.5525,364,0.0,1.0
2024-08-16,22.32,22.32,22.2566,22.2566,22.2566,236,0.0,1.0
2024-08-15,22.2512,22.2512,22.2512,22.2512,22.2512,67,0.0,1.0
2024-08-14,21.8654,21.8654,21.8654,21.8654,21.8654,33,0.0,1.0
2024-08-13,22.0627,22.0627,22.0627,22.0627,22.0627,592,0.0,1.0
2024-08-12,21.7267,21.7267,21.7267,21.7267,21.7267,592,0.0,1.0
2024-08-09,21.8,21.8,21.7804,21.7804,21.7804,203,0.0,1.0
2024-08-08,21.6878,21.6878,21.6878,21.6878,21.6878,5,0.0,1.0
2024-08-07,21.4338,21.4338,21.4338,21.4338,21.4338,16,0.0,1.0
2024-08-06,21.7201,21.7201,21.7201,21.7201,21.7201,28,0.0,1.0
2024-08-05,21.6933,21.6933,21.6933,21.6933,21.6933,63,0.0,1.0
2024-08-02,22.232,22.232,22.232,22.232,22.232,3,0.0,1.0
2024-08-01,22.4477,22.4477,22.4477,22.4477,22.4477,29,0.0,1.0
2024-07-31,23.1953,23.1953,23.1953,23.1953,23.1953,13,0.0,1.0
2024-07-30,22.6316,22.6316,22.6316,22.6316,22.6316,77,0.0,1.0
2024-07-29,22.95,22.95,22.833,22.833,22.833,395,0.0,1.0
2024-07-26,22.9944,22.9944,22.9944,22.9944,22.9944,53,0.0,1.0
2024-07-25,22.8363,22.8363,22.8363,22.8363,22.8363,36,0.0,1.0
2024-07-24,22.6462,22.6462,22.6462,22.6462,22.6462,76,0.0,1.0
2024-07-23,23.1694,23.1694,23.1694,23.1694,23.1694,4,0.0,1.0
2024-07-22,23.6467,23.6467,23.6467,23.6467,23.6467,21,0.0,1.0
2024-07-19,23.5805,23.5805,23.5805,23.5805,23.5805,1,0.0,1.0
2024-07-18,23.7738,23.7738,23.7738,23.7738,23.7738,80,0.0,1.0
2024-07-17,24.0283,24.0283,24.0283,24.0283,24.0283,32,0.0,1.0
2024-07-16,24.2897,24.2897,24.2897,24.2897,24.2897,66,0.0,1.0
2024-07-15,24.2998,24.2998,24.2998,24.2998,24.2998,70,0.0,1.0
2024-07-12,24.6665,24.6665,24.6665,24.6665,24.6665,6,0.0,1.0
2024-07-11,24.3519,24.3519,24.3519,24.3519,24.3519,37,0.0,1.0
2024-07-10,24.1899,24.1899,24.1899,24.1899,24.1899,22,0.0,1.0
2024-07-09,24.0806,24.0806,24.0806,24.0806,24.0806,33,0.0,1.0
2024-07-08,24.19,24.19,24.033,24.033,24.033,331,0.0,1.0
2024-07-05,24.22,24.22,24.2084,24.2084,24.2084,261,0.0,1.0
2024-07-03,24.27,24.28,24.09,24.1586,24.1586,5025,0.0,1.0
2024-07-02,23.5818,23.5818,23.5818,23.5818,23.5818,36,0.0,1.0
2024-07-01,23.4068,23.4068,23.4068,23.4068,23.4068,90,0.0,1.0
2024-06-28,23.49,23.49,23.253,23.253,23.253,1000,0.0,1.0
2024-06-27,23.47,23.47,23.4062,23.4062,23.4062,286,0.0,1.0
2024-06-26,23.48,23.4833,23.48,23.4833,23.4833,172,0.0,1.0
2024-06-25,23.3574,23.3574,23.3574,23.3574,23.3574,66,0.0,1.0
2024-06-24,23.475,23.475,23.4249,23.4249,23.4249,253,0.0,1.0
2024-06-21,23.3791,23.3791,23.3791,23.3791,23.3791,5,0.0,1.0
2024-06-20,23.535,23.5559,23.535,23.5559,23.5559,196,0.0,1.0
2024-06-18,23.51,23.6189,23.51,23.6189,23.6189,101,0.0,1.0
2024-06-17,23.45,23.5856,23.45,23.5856,23.5856,156,0.0,1.0
2024-06-14,23.399,23.4392,23.399,23.4392,23.4392,244,0.0,1.0
2024-06-13,23.59,23.59,23.59,23.59,23.59,393,0.0,1.0
2024-06-12,23.95,23.95,23.8365,23.8365,23.8365,1643,0.0,1.0
2024-06-11,23.76,23.76,23.7008,23.7008,23.7008,123,0.0,1.0
2024-06-10,23.8777,23.8777,23.8777,23.8777,23.8777,7,0.0,1.0
2024-06-07,23.94,23.94,23.8301,23.8405,23.8405,392,0.0,1.0
2024-06-06,24.41,24.41,24.41,24.41,24.41,186,0.0,1.0
2024-06-05,24.2022,24.2022,24.2022,24.2022,24.2022,23,0.0,1.0
2024-06-04,24.178,24.178,24.178,24.178,24.178,22,0.0,1.0
2024-06-03,24.43,24.43,24.277,24.277,24.277,363,0.0,1.0
2024-05-31,24.2518,24.2518,24.2518,24.2518,24.2518,35,0.0,1.0
2024-05-30,24.2855,24.2855,24.2855,24.2855,24.2855,54,0.0,1.0
2024-05-29,24.19,24.19,24.19,24.19,24.19,7,0.0,1.0
2024-05-28,24.3857,24.3857,24.3857,24.3857,24.3857,103,0.0,1.0
2024-05-24,24.449,24.449,24.4103,24.4103,24.4103,201,0.0,1.0
2024-05-23,24.2655,24.2655,24.2655,24.2655,24.2655,10,0.0,1.0
2024-05-22,24.6315,24.6315,24.6315,24.6315,24.6315,75,0.0,1.0
2024-05-21,24.9887,24.9887,24.9887,24.9887,24.9887,21,0.0,1.0
2024-05-20,25.01,25.01,24.9958,24.9958,24.9958,139,0.0,1.0
2024-05-17,25.04,25.04,25.0059,25.0059,25.0059,137,0.0,1.0
2024-05-16,24.76,24.76,24.7239,24.7239,24.7239,683,0.0,1.0
2024-05-15,24.76,24.76,24.76,24.76,24.76,260,0.0,1.0
2024-05-14,24.8087,24.8087,24.8087,24.8087,24.8087,80,0.0,1.0
2024-05-13,24.3952,24.3952,24.3952,24.3952,24.3952,64,0.0,1.0
2024-05-10,24.52,24.52,24.35,24.35,24.35,7916,0.0,1.0
2024-05-09,24.6758,24.6758,24.6758,24.6758,24.6758,117,0.0,1.0
2024-05-08,24.48,24.48,24.48,24.48,24.48,131,0.0,1.0
2024-05-07,24.83,24.83,24.75,24.75,24.75,295,0.0,1.0
2024-05-06,24.91,24.91,24.91,24.91,24.91,148,0.0,1.0
2024-05-03,24.63,24.6759,24.56,24.6759,24.6759,5615,0.0,1.0
