,DBD_Open,DBD_High,DBD_Low,DBD_Close,DBD_Adj Close,DBD_Volume,DBD_Dividend Amount,DBD_Split Coefficient
2024-10-07,44.06,44.3883,43.48,43.97,43.97,89141,0.0,1.0
2024-10-04,43.65,44.49,43.22,44.26,44.26,134885,0.0,1.0
2024-10-03,41.99,43.62,41.54,42.68,42.68,135339,0.0,1.0
2024-10-02,42.94,43.98,42.19,42.3,42.3,184033,0.0,1.0
2024-10-01,44.65,47.73,43.15,43.32,43.32,229795,0.0,1.0
2024-09-30,43.15,44.68,43.15,44.66,44.66,220838,0.0,1.0
2024-09-27,43.21,43.6,42.72,43.12,43.12,110577,0.0,1.0
2024-09-26,44.2,44.215,42.775,42.94,42.94,96685,0.0,1.0
2024-09-25,44.18,44.61,43.12,43.27,43.27,128271,0.0,1.0
2024-09-24,44.23,44.48,43.74,44.18,44.18,139462,0.0,1.0
2024-09-23,44.51,44.85,43.84,43.97,43.97,105129,0.0,1.0
2024-09-20,43.27,44.7,43.27,44.21,44.21,316869,0.0,1.0
2024-09-19,44.22,44.5,42.9,43.14,43.14,148556,0.0,1.0
2024-09-18,43.7,43.9,42.645,42.88,42.88,100495,0.0,1.0
2024-09-17,43.26,43.95,42.54,43.29,43.29,126221,0.0,1.0
2024-09-16,43.18,43.5,42.43,42.57,42.57,80812,0.0,1.0
2024-09-13,42.53,43.31,42.12,42.97,42.97,88144,0.0,1.0
2024-09-12,42.34,42.72,41.59,41.88,41.88,119048,0.0,1.0
2024-09-11,40.44,41.77,39.54,41.74,41.74,100238,0.0,1.0
2024-09-10,40.63,41.3,40.065,40.79,40.79,106635,0.0,1.0
2024-09-09,40.59,42.16,40.36,40.81,40.81,124639,0.0,1.0
2024-09-06,42.29,42.35,40.07,40.97,40.97,127973,0.0,1.0
2024-09-05,43.51,44.135,41.9,42.67,42.67,124709,0.0,1.0
2024-09-04,42.47,43.56,42.35,43.25,43.25,97281,0.0,1.0
2024-09-03,44.09,44.58,41.895,42.5,42.5,202435,0.0,1.0
2024-08-30,44.13,44.91,43.76,44.82,44.82,197073,0.0,1.0
2024-08-29,43.08,43.8699,42.45,43.64,43.64,131564,0.0,1.0
2024-08-28,41.64,43.7425,41.3,43.12,43.12,148798,0.0,1.0
2024-08-27,40.3,41.0,39.895,40.91,40.91,84384,0.0,1.0
