,CABO_Open,CABO_High,CABO_Low,CABO_Close,CABO_Adj Close,CABO_Volume,CABO_Dividend Amount,CABO_Split Coefficient
2024-10-04,345.34,352.14,344.5661,346.33,346.33,44243,0.0,1.0
2024-10-03,346.82,346.82,339.555,343.02,343.02,48031,0.0,1.0
2024-10-02,346.38,352.845,344.33,349.76,349.76,44114,0.0,1.0
2024-10-01,351.08,351.08,343.625,348.46,348.46,55441,0.0,1.0
2024-09-30,349.42,354.63,348.0,349.79,349.79,79580,0.0,1.0
2024-09-27,348.29,358.1,344.84,353.56,353.56,64805,0.0,1.0
2024-09-26,349.17,350.57,342.02,344.46,344.46,80096,0.0,1.0
2024-09-25,346.78,349.13,339.7,342.11,342.11,87345,0.0,1.0
2024-09-24,347.52,350.565,345.01,348.3,348.3,89635,0.0,1.0
2024-09-23,341.62,343.97,335.0,341.68,341.68,49934,0.0,1.0
2024-09-20,344.74,346.27,340.29,341.85,341.85,139256,0.0,1.0
2024-09-19,351.12,360.0,344.83,346.96,346.96,111771,0.0,1.0
2024-09-18,338.1,350.0,336.0,346.49,346.49,65228,0.0,1.0
2024-09-17,343.35,345.585,336.1,336.42,336.42,49191,0.0,1.0
2024-09-16,340.57,348.5279,333.225,339.84,339.84,79005,0.0,1.0
2024-09-13,327.47,337.49,326.79,336.92,336.92,75763,0.0,1.0
2024-09-12,313.15,325.15,313.15,324.9,324.9,88865,0.0,1.0
2024-09-11,330.37,330.37,314.33,314.77,314.77,164847,0.0,1.0
2024-09-10,335.06,335.06,327.3958,331.51,331.51,77304,0.0,1.0
2024-09-09,344.0,345.05,336.015,336.36,336.36,74060,0.0,1.0
2024-09-06,353.14,353.14,343.37,345.23,345.23,46960,0.0,1.0
2024-09-05,348.93,353.05,345.0,353.01,353.01,56316,0.0,1.0
2024-09-04,354.64,361.095,343.65,348.93,348.93,68199,0.0,1.0
2024-09-03,352.06,358.2,348.3137,354.92,354.92,80096,0.0,1.0
2024-08-30,360.99,361.49,350.84,352.72,352.72,78343,0.0,1.0
2024-08-29,357.61,361.85,353.195,361.84,361.84,137713,0.0,1.0
2024-08-28,357.25,359.215,350.3,355.32,355.32,56030,0.0,1.0
2024-08-27,361.51,367.3916,356.02,359.84,359.84,62698,2.95,1.0
2024-08-26,352.55,363.46,349.445,362.22,359.274634912759,64493,0.0,1.0
2024-08-23,337.99,352.07,336.8851,350.28,347.431724137931,53072,0.0,1.0
2024-08-22,347.2,349.35,334.25,334.97,332.246216268365,51218,0.0,1.0
2024-08-21,353.36,355.185,346.65,348.58,345.74554756195,75203,0.0,1.0
2024-08-20,354.52,358.775,352.06,352.45,349.584078943742,62708,0.0,1.0
2024-08-19,366.75,375.0,354.0,355.68,352.787814438105,83251,0.0,1.0
2024-08-16,365.16,370.47,359.89,365.17,362.200647206373,97852,0.0,1.0
2024-08-15,380.44,380.44,363.415,367.69,364.700156013121,131142,0.0,1.0
2024-08-14,384.96,384.96,372.19,373.25,370.214945285151,90275,0.0,1.0
2024-08-13,381.46,388.465,376.52,384.82,381.69086468756,69352,0.0,1.0
2024-08-12,390.23,391.12,375.9,376.91,373.84518426638,53215,0.0,1.0
2024-08-09,402.71,402.71,384.635,390.81,387.632157446457,60062,0.0,1.0
2024-08-08,397.92,404.06,395.93,403.01,399.732954050553,55335,0.0,1.0
2024-08-07,404.15,411.92,393.565,396.52,393.295727004603,85226,0.0,1.0
2024-08-06,415.13,415.13,390.77,398.35,395.110846495218,136331,0.0,1.0
2024-08-05,379.04,420.0,379.04,418.85,415.444152264395,192615,0.0,1.0
2024-08-02,394.91,404.225,362.77,394.25,391.044185341382,99725,0.0,1.0
2024-08-01,410.83,410.83,397.45,404.56,401.270350340417,91184,0.0,1.0
2024-07-31,412.27,420.72,405.39,413.38,410.018631164034,109638,0.0,1.0
2024-07-30,409.27,416.14,400.81,410.03,406.695871440778,116963,0.0,1.0
2024-07-29,391.5,413.97,391.5,411.21,407.866276358224,183460,0.0,1.0
2024-07-26,361.81,399.785,361.0,395.01,391.798005457703,253838,0.0,1.0
2024-07-25,345.09,354.315,343.73,344.67,341.867341437195,79795,0.0,1.0
2024-07-24,348.47,351.37,339.19,342.31,339.526531602304,80129,0.0,1.0
2024-07-23,341.28,352.285,334.04,348.56,345.725710190468,106472,0.0,1.0
2024-07-22,357.26,357.26,335.805,343.0,340.210920918438,113507,0.0,1.0
2024-07-19,363.76,363.99,353.52,357.83,354.920331872433,112311,0.0,1.0
2024-07-18,376.73,383.765,362.08,364.25,361.288128118195,121291,0.0,1.0
2024-07-17,357.92,377.36,357.92,376.96,373.894777695085,134247,0.0,1.0
2024-07-16,347.79,364.84,341.36,363.26,360.30617822983,182468,0.0,1.0
2024-07-15,337.51,359.33,337.51,343.69,340.895310234571,291932,0.0,1.0
2024-07-12,339.93,340.47,334.08,339.07,336.3128774222,102477,0.0,1.0
2024-07-11,331.78,344.24,331.0,336.72,333.981986273051,147825,0.0,1.0
2024-07-10,325.59,328.28,318.685,327.86,325.194030706469,86310,0.0,1.0
2024-07-09,331.47,331.47,320.94,321.9,319.282494004796,95952,0.0,1.0
2024-07-08,348.11,348.11,330.1,332.63,329.925243804956,119700,0.0,1.0
2024-07-05,345.64,349.93,345.62,346.82,343.999858871523,56488,0.0,1.0
2024-07-03,348.3,349.8,343.48,349.61,346.76717219328,36846,0.0,1.0
2024-07-02,347.68,349.0,342.76,348.3,345.467824361201,83456,0.0,1.0
2024-07-01,355.99,356.39,341.0,347.62,344.793353730808,97584,0.0,1.0
2024-06-28,348.75,359.23,348.75,354.0,351.121475233606,915364,0.0,1.0
2024-06-27,355.27,358.73,347.23,348.65,345.814978362138,112113,0.0,1.0
2024-06-26,339.36,356.62,338.41,355.02,352.133181179195,108691,0.0,1.0
2024-06-25,359.04,359.04,339.96,340.31,337.542794454092,86160,0.0,1.0
2024-06-24,366.78,368.76,351.535,359.64,356.715613991565,81179,0.0,1.0
2024-06-21,358.74,369.37,353.29,368.39,365.394464014995,178173,0.0,1.0
2024-06-20,354.36,360.04,353.84,356.47,353.571390611649,55016,0.0,1.0
2024-06-18,363.47,368.21,355.9,356.39,353.49204112572,90550,0.0,1.0
2024-06-17,356.93,364.46,353.27,362.43,359.482927313322,69246,0.0,1.0
2024-06-14,356.71,359.81,352.14,359.77,356.844556906199,60355,0.0,1.0
2024-06-13,359.12,359.85,354.12,358.22,355.307160616334,48171,0.0,1.0
2024-06-12,375.22,379.835,357.8,359.85,356.923906392128,68078,0.0,1.0
2024-06-11,359.74,373.105,359.74,368.28,365.285358471843,84581,0.0,1.0
2024-06-10,370.03,370.03,364.0,364.21,361.248453375231,73193,0.0,1.0
2024-06-07,382.34,390.76,374.72,374.72,371.672992089087,53598,0.0,1.0
2024-06-06,380.05,391.41,380.05,386.7,383.55557760688,70867,0.0,1.0
2024-06-05,392.27,392.27,383.71,383.73,380.609727941785,73739,0.0,1.0
2024-06-04,389.34,393.7,385.76,387.68,384.527608809504,70432,0.0,1.0
2024-06-03,378.92,395.925,378.92,388.88,385.717851098432,128156,0.0,1.0
2024-05-31,375.78,387.96,371.675,385.91,382.772001433336,81473,0.0,1.0
2024-05-30,369.89,378.14,363.49,375.58,372.525999062819,88474,0.0,1.0
2024-05-29,363.93,366.83,355.21,366.37,363.3908894953,108424,0.0,1.0
2024-05-28,354.78,369.36,354.78,368.62,365.622593787039,147382,0.0,1.0
2024-05-24,335.82,353.73,332.9401,353.13,350.258549574134,147712,2.95,1.0
2024-05-23,356.55,356.79,337.84,338.0,332.474134340758,203871,0.0,1.0
2024-05-22,361.59,363.89,351.97,351.98,346.225579305503,116747,0.0,1.0
2024-05-21,374.46,378.43,363.11,363.69,357.744135853226,121735,0.0,1.0
2024-05-20,387.45,387.45,376.95,378.0,371.820185742031,101349,0.0,1.0
2024-05-17,395.22,395.22,385.415,387.44,381.105853872732,103330,0.0,1.0
2024-05-16,388.74,395.98,386.52,395.36,388.896372050184,79076,0.0,1.0
2024-05-15,409.16,410.31,385.01,388.31,381.96163049071,107742,0.0,1.0
2024-05-14,406.04,412.25,400.56,404.42,397.808252692572,105350,0.0,1.0
2024-05-13,398.59,409.98,396.42,398.92,392.398170624897,94792,0.0,1.0
2024-05-10,393.15,397.01,381.58,393.75,387.312693481283,105706,0.0,1.0
2024-05-09,395.9,399.46,387.56,392.33,385.915908656538,109763,0.0,1.0
2024-05-08,391.16,401.765,390.58,395.42,388.955391127286,84472,0.0,1.0
2024-05-07,404.04,404.48,392.96,393.0,386.574955017509,100234,0.0,1.0
2024-05-06,383.21,402.45,376.02,402.43,395.850786635359,157757,0.0,1.0
2024-05-03,369.13,408.415,369.13,378.45,372.262828820296,162639,0.0,1.0
2024-05-02,402.74,406.18,392.34,395.98,389.506235846904,90570,0.0,1.0
2024-05-01,396.01,399.5,388.18,396.71,390.224301284977,77317,0.0,1.0
2024-04-30,395.57,395.57,387.07,393.85,387.411058609786,90029,0.0,1.0
2024-04-29,391.28,400.67,391.28,398.37,391.85716241813,80059,0.0,1.0
2024-04-26,383.86,394.79,380.02,389.24,382.876426185789,76294,0.0,1.0
2024-04-25,396.66,400.93,383.155,387.39,381.05667130848,143245,0.0,1.0
2024-04-24,403.92,406.68,400.17,402.98,396.391794842127,88875,0.0,1.0
2024-04-23,406.02,411.3,404.715,407.42,400.759206547668,124277,0.0,1.0
2024-04-22,396.81,415.08,393.32,406.91,400.257544392302,123190,0.0,1.0
2024-04-19,397.58,408.15,394.53,395.61,389.142284871442,1101441,0.0,1.0
2024-04-18,406.97,413.175,397.09,398.3,391.788306828178,333872,0.0,1.0
2024-04-17,389.02,397.9,388.81,393.6,387.165145788528,75139,0.0,1.0
2024-04-16,389.94,389.94,380.9,387.0,380.673047307318,88325,0.0,1.0
2024-04-15,387.22,397.52,382.0,392.43,386.014273785041,128131,0.0,1.0
2024-04-12,383.01,392.375,376.8701,386.76,380.43697099891,122709,0.0,1.0
2024-04-11,380.47,386.42,373.37,386.0,379.689396022286,110726,0.0,1.0
2024-04-10,393.18,393.18,376.195,379.01,372.813673539914,213080,0.0,1.0
2024-04-09,399.47,401.7975,392.01,399.16,392.634246933305,102750,0.0,1.0
2024-04-08,393.56,404.2825,393.26,400.91,394.355636682111,111517,0.0,1.0
2024-04-05,405.52,410.54,388.69,392.01,385.601140245327,220252,0.0,1.0
2024-04-04,415.14,429.29,410.61,410.63,403.91672717262,70971,0.0,1.0
2024-04-03,424.43,424.83,410.92,411.2,404.477408405088,60614,0.0,1.0
2024-04-02,420.41,426.91,415.015,424.31,417.373076751855,66600,0.0,1.0
2024-04-01,426.66,426.66,411.845,421.95,415.05165971918,69550,0.0,1.0
2024-03-28,429.0,429.155,415.01,423.13,416.212368235518,161433,0.0,1.0
2024-03-27,439.31,439.31,415.52,424.98,418.032123112827,144592,0.0,1.0
2024-03-26,440.78,440.78,431.81,435.69,428.567028375518,87349,0.0,1.0
2024-03-25,433.7,441.0,433.04,438.68,431.508145717763,51509,0.0,1.0
2024-03-22,442.33,446.085,429.67,432.31,425.24228703211,66758,0.0,1.0
2024-03-21,443.64,452.72,440.57,442.87,435.629644602046,51861,0.0,1.0
2024-03-20,437.49,447.97,434.845,445.19,437.91171558332,54492,0.0,1.0
2024-03-19,439.96,445.015,435.94,440.62,433.416429210725,70820,0.0,1.0
2024-03-18,419.09,448.835,413.7,443.02,435.777192294801,113338,0.0,1.0
2024-03-15,426.0,428.0,418.7,421.69,414.795910385072,165462,0.0,1.0
2024-03-14,453.54,453.99,421.63,426.48,419.507600040375,122110,0.0,1.0
2024-03-13,466.8,470.87,454.16,454.94,447.50231561238,101739,0.0,1.0
2024-03-12,469.41,469.41,455.31,466.02,458.401171850533,80939,0.0,1.0
2024-03-11,450.37,468.0,450.37,467.97,460.319291856345,60430,0.0,1.0
2024-03-08,445.75,451.17,441.75,450.68,443.311961138145,48652,0.0,1.0
2024-03-07,440.39,446.39,438.0,442.74,435.501769934992,69940,0.0,1.0
2024-03-06,451.99,453.23,438.7,439.82,432.629508182699,92402,0.0,1.0
2024-03-05,450.89,475.0,441.35,450.64,443.272615086744,200236,0.0,1.0
2024-03-04,457.03,457.925,438.47,445.0,437.724821839164,104923,0.0,1.0
2024-03-01,455.52,465.71,450.24,457.63,450.148337569116,79853,0.0,1.0
2024-02-29,447.27,460.455,447.27,456.0,448.544985974514,90309,0.0,1.0
2024-02-28,439.73,445.8621,438.812,442.75,435.511606447842,82066,0.0,1.0
2024-02-27,436.63,448.26,431.17,445.9,438.610107995693,116619,0.0,1.0
2024-02-26,441.78,448.5,432.05,436.7,429.5605161734,156460,0.0,1.0
2024-02-23,477.65,477.65,405.75,441.08,433.868908801839,274394,0.0,1.0
2024-02-22,473.66,479.79,467.91,476.06,468.277030752253,111687,0.0,1.0
2024-02-21,493.0,493.0,475.29,475.72,467.942589315342,85902,0.0,1.0
2024-02-20,482.09,495.0,480.31,493.92,485.845042702921,90680,0.0,1.0
2024-02-16,489.24,497.07,482.6,483.43,475.526540722937,102656,2.95,1.0
2024-02-15,496.9,505.99,491.74,493.57,482.556097505284,93849,0.0,1.0
2024-02-14,490.6,496.94,480.1,496.36,485.283839288698,60170,0.0,1.0
2024-02-13,492.58,492.58,474.23,485.87,475.027921257152,104372,0.0,1.0
2024-02-12,500.3,513.7,499.62,505.84,494.552295240944,62574,0.0,1.0
2024-02-09,486.01,498.76,483.29,498.15,487.033895845082,74451,0.0,1.0
2024-02-08,494.61,500.54,482.945,486.69,475.829623143317,84424,0.0,1.0
2024-02-07,507.0,510.39,488.9,491.05,480.092330733168,85886,0.0,1.0
2024-02-06,502.5,508.87,496.385,505.66,494.376311900079,105755,0.0,1.0
2024-02-05,511.84,515.49,501.15,505.47,494.190551706943,64464,0.0,1.0
2024-02-02,542.8,542.8,500.0,510.01,498.62924263766,123190,0.0,1.0
2024-02-01,554.55,554.55,536.735,551.33,539.027196218547,60070,0.0,1.0
2024-01-31,555.12,566.88,548.86,548.93,536.680751673675,37907,0.0,1.0
2024-01-30,559.29,565.45,556.25,558.2,545.743893728245,68225,0.0,1.0
2024-01-29,569.33,569.33,552.9525,563.75,551.170046738262,45208,0.0,1.0
2024-01-26,557.57,573.025,557.57,572.87,560.086536008777,34542,0.0,1.0
2024-01-25,545.34,553.75,538.4,553.74,541.38341761569,33132,0.0,1.0
2024-01-24,559.06,559.06,540.135,542.52,530.413789368411,47788,0.0,1.0
2024-01-23,554.41,554.41,542.21,552.84,540.503500911363,55305,0.0,1.0
2024-01-22,536.83,548.61,536.83,548.61,536.367892401025,45809,0.0,1.0
2024-01-19,524.79,532.58,515.45,532.58,520.695598211731,54319,0.0,1.0
2024-01-18,526.94,528.8119,522.325,523.5,511.818216350297,37613,0.0,1.0
2024-01-17,534.2,538.7,514.0,521.71,510.068159793913,98354,0.0,1.0
2024-01-16,553.2,553.2,539.735,541.1,529.025476346029,76416,0.0,1.0
2024-01-12,561.89,565.14,545.6,551.36,539.056526775358,55998,0.0,1.0
2024-01-11,553.43,561.67,545.04,559.07,546.594479875761,63064,0.0,1.0
2024-01-10,558.61,574.53,550.24,554.12,541.754938001961,72406,0.0,1.0
2024-01-09,553.11,558.23,544.821,558.22,545.763447432785,71027,0.0,1.0
2024-01-08,540.47,562.73,532.38,556.84,544.414241819483,86852,0.0,1.0
2024-01-05,529.9,552.5,529.9,538.11,526.102197517208,94153,0.0,1.0
2024-01-04,541.15,544.875,522.312,531.78,519.913450030107,84330,0.0,1.0
2024-01-03,549.55,551.625,539.0,541.35,529.269897652786,61184,0.0,1.0
2024-01-02,557.16,564.1499,550.17,553.58,541.226987979365,42553,0.0,1.0
2023-12-29,557.03,557.03,553.0,556.59,544.169820512726,33720,0.0,1.0
2023-12-28,550.0,565.97,542.2101,559.94,547.445066023277,28454,0.0,1.0
2023-12-27,553.93,557.86,544.74,556.57,544.150266808185,32223,0.0,1.0
2023-12-26,546.31,552.75,541.42,551.88,539.564923093414,26228,0.0,1.0
2023-12-22,541.8,549.83,539.3,543.93,531.792325538524,30940,0.0,1.0
2023-12-21,544.3,548.75,540.42,544.02,531.880317208957,34923,0.0,1.0
2023-12-20,552.18,552.18,537.022,540.43,528.370427243918,38287,0.0,1.0
2023-12-19,546.44,555.19,543.7,554.19,541.823375967854,49850,0.0,1.0
2023-12-18,545.0,549.6458,534.86,541.26,529.181905982353,41332,0.0,1.0
2023-12-15,552.01,552.01,538.05,541.29,529.211236539164,68806,0.0,1.0
2023-12-14,542.99,567.83,542.99,550.33,538.049510991517,60565,0.0,1.0
2023-12-13,527.0,535.3,517.0,535.3,523.354902029253,154049,0.0,1.0
2023-12-12,518.77,531.555,506.18,528.74,516.941286939935,73968,0.0,1.0
2023-12-11,527.6,530.1,515.575,519.61,508.01502081715,76546,0.0,1.0
2023-12-08,525.99,532.58,524.1,526.4,514.653503508685,50675,0.0,1.0
2023-12-07,519.77,532.33,519.77,525.01,513.294521043113,44065,0.0,1.0
2023-12-06,528.14,533.983,522.1,523.76,512.072414509325,72847,0.0,1.0
2023-12-05,557.74,557.74,510.3101,522.3,510.644994077861,96743,0.0,1.0
