,MDSO_Open,MDSO_High,MDSO_Low,MDSO_Close,MDSO_Adj Close,MDSO_Volume,MDSO_Dividend Amount,MDSO_Split Coefficient
2019-10-28,92.24,92.26,92.21,92.22,92.22,7301589,0.0,1.0
2019-10-25,92.24,92.25,92.22,92.24,92.24,1886690,0.0,1.0
2019-10-24,92.22,92.27,92.21,92.23,92.23,2265645,0.0,1.0
2019-10-23,91.84,91.88,91.75,91.75,91.75,920107,0.0,1.0
2019-10-22,91.93,91.97,91.72,91.75,91.75,421324,0.0,1.0
2019-10-21,91.92,91.98,91.88,91.895,91.895,298591,0.0,1.0
2019-10-18,91.98,91.99,91.86,91.87,91.87,376013,0.0,1.0
2019-10-17,91.95,91.99,91.89,91.96,91.96,568118,0.0,1.0
2019-10-16,91.95,91.96,91.75,91.94,91.94,1321867,0.0,1.0
2019-10-15,91.97,91.99,91.9,91.98,91.98,426298,0.0,1.0
2019-10-14,91.9,92.03,91.85,91.97,91.97,586097,0.0,1.0
2019-10-11,91.92,91.95,91.785,91.9,91.9,557858,0.0,1.0
2019-10-10,91.65,91.93,91.65,91.91,91.91,638812,0.0,1.0
2019-10-09,91.66,91.76,91.6,91.72,91.72,626206,0.0,1.0
2019-10-08,91.62,91.69,91.6,91.62,91.62,620527,0.0,1.0
2019-10-07,91.54,91.68,91.51,91.64,91.64,837119,0.0,1.0
2019-10-04,91.52,91.83,91.49,91.61,91.61,1652264,0.0,1.0
2019-10-03,91.51,91.56,91.46,91.52,91.52,1137880,0.0,1.0
2019-10-02,91.5,91.6,91.48,91.48,91.48,1464787,0.0,1.0
2019-10-01,91.46,91.57,91.41,91.55,91.55,831960,0.0,1.0
2019-09-30,91.44,91.5,91.37,91.5,91.5,621160,0.0,1.0
2019-09-27,91.5,91.5,91.38,91.41,91.41,363545,0.0,1.0
2019-09-26,91.46,91.505,91.35,91.4,91.4,715030,0.0,1.0
2019-09-25,91.64,91.64,91.42,91.465,91.465,718308,0.0,1.0
2019-09-24,91.5,91.64,91.42,91.47,91.47,2358352,0.0,1.0
2019-09-23,91.8,91.825,91.73,91.74,91.74,591406,0.0,1.0
2019-09-20,91.81,91.84,91.75,91.75,91.75,855031,0.0,1.0
2019-09-19,91.82,91.87,91.78,91.81,91.81,341944,0.0,1.0
2019-09-18,91.8,91.85,91.745,91.8,91.8,422221,0.0,1.0
2019-09-17,91.76,91.86,91.63,91.83,91.83,730972,0.0,1.0
2019-09-16,91.71,91.8,91.63,91.71,91.71,566033,0.0,1.0
2019-09-13,91.69,91.79,91.63,91.72,91.72,305621,0.0,1.0
2019-09-12,91.93,91.99,91.67,91.75,91.75,302194,0.0,1.0
2019-09-11,91.72,92.02,91.65,92.01,92.01,558974,0.0,1.0
2019-09-10,91.67,91.78,91.58,91.76,91.76,817631,0.0,1.0
2019-09-09,91.64,91.73,91.57,91.69,91.69,592479,0.0,1.0
2019-09-06,91.75,91.8,91.57,91.58,91.58,336940,0.0,1.0
2019-09-05,91.72,91.76,91.55,91.75,91.75,903793,0.0,1.0
2019-09-04,91.65,91.73,91.64,91.71,91.71,664074,0.0,1.0
2019-09-03,91.54,91.66,91.54,91.64,91.64,876447,0.0,1.0
2019-08-30,91.59,91.66,91.435,91.58,91.58,551997,0.0,1.0
2019-08-29,91.59,91.6,91.48,91.54,91.54,330743,0.0,1.0
2019-08-28,91.53,91.6,91.5,91.51,91.51,502136,0.0,1.0
2019-08-27,91.6,91.87,91.46,91.54,91.54,642841,0.0,1.0
2019-08-26,91.55,91.63,91.445,91.61,91.61,576868,0.0,1.0
2019-08-23,91.56,91.65,91.34,91.5,91.5,1196896,0.0,1.0
2019-08-22,91.58,91.65,91.51,91.61,91.61,496969,0.0,1.0
2019-08-21,91.65,91.66,91.5,91.5,91.5,579781,0.0,1.0
2019-08-20,91.58,91.64,91.52,91.62,91.62,416953,0.0,1.0
2019-08-19,91.58,91.65,91.51,91.58,91.58,511276,0.0,1.0
2019-08-16,91.44,91.53,91.38,91.5,91.5,539403,0.0,1.0
2019-08-15,91.37,91.53,91.37,91.41,91.41,617616,0.0,1.0
2019-08-14,91.35,91.45,91.3,91.39,91.39,935867,0.0,1.0
2019-08-13,91.33,91.46,91.29,91.43,91.43,1027209,0.0,1.0
